plan_row_id,내용,넘긴곳(t51),판정,정정대상시스템,근거,근거 요지
STD-ORD-027,오프라인 주문 별도 등록 경로,webadmin,라우팅 대상 오류,mes,t50/screens.csv:30,MES-ORD-FrmOrderOffline 오프라인 주문 등록(STD-MFG-133·build/완료·[오픈분모밖]) — 넘긴곳 webadmin 오배정
STD-MYP-028,충전 입금 확인 = 토스페이먼츠 가상계좌 API 직접 발급,webadmin↔토스,빠진 일,webadmin↔토스,t49/screens.csv:199,webadmin 원장 147행에 토스 counterpart 행 0 · 샵바이 가상계좌(t48/screens.csv:90 STD-PAY-003)는 주문결제용 provided 로 충전 발급과 별건. 선행 결정 STD-PAY-023·STD-MYP-023(t48/huni-mall-decisions.md)
STD-MYP-029,입금 확인 자동화 — 가상계좌 DEPOSIT_CALLBACK 웹훅 수신→자동 충전,webadmin,빠진 일,webadmin,t49/screens.csv:199,기존 shopby_webhook 는 결제완료·취소·배송지변경만 수신(STD-PAY-031) — 입금 콜백→충전 적립 분기 행 없음
STD-MYP-043,프린트머니 구현 M1 — webadmin t_pm_charge_txn + 감지·지급 잡(폴링) + 웹훅 신호 연결,webadmin,빠진 일,webadmin,t48/screens.csv:34,"프린트머니 M0(t48:34)·M2(t48/screens.csv:116)·M3(t48/screens.csv:227)·M6(t48/screens.csv:10)은 원장 실재, M1 만 부재. 단 원장 소유 결정 STD-MYP-051(t48/shopby-decisions.md) 에서 A(샵바이 적립금) 채택 시 불요"
STD-MYP-046,프린트머니 구현 M4 — 충전 취소/환불 처리 + 운영 화면(txn 목록·재시도),webadmin,빠진 일,webadmin,t48/screens.csv:34,M4(충전 취소/환불 + txn 운영화면) 대응 행 0 — M0/M2/M3/M6 만 실재
STD-MYP-047,프린트머니 구현 M5 — 구 잔액 마이그레이션 시드 실행(260630 스펙),webadmin,라우팅 대상 오류,shopby,t48/screens.csv:93,SB-POINT 기존 프린트머니 잔액 이관(STD-MYP-009·integrate/미착수)이 M5 와 같은 일
STD-PRM-017,[구IA#71] 체험단관리 (등록/수정/신청내역),webadmin,빠진 일,shopby,t48/screens.csv:255,MALL-EVENT 체험단 모집·신청·당첨·후기(STD-PRM-011)는 고객 화면 — 운영자 관리 화면 행 0. STD-ADC-016 과 동일 기능의 구IA 표기(t48 선례상 두 plan_row_id 를 한 화면에 병기)
STD-B2B-001,거래처(기업회원) 등록·관리,webadmin,라우팅 대상 오류,shopby,t48/screens.csv:86,SB-MEMBER [구IA#45] 거래처관리 (등록/수정/처리)(STD-B2B-013·config/미확인)
STD-B2B-002,거래처별 단가/할인율 설정,webadmin,빠진 일,shopby,t48/screens.csv:86,거래처별 커머스 단가/할인율 행 0(MES 고객별 제지 할인율 t50/screens.csv:44 는 생산원가축으로 별건)
STD-B2B-003,거래처 소속 담당자 다계정,webadmin,빠진 일,shopby,t48/screens.csv:86,거래처 소속 담당자 다계정 행 0
STD-B2B-004,후불 여신한도 설정,webadmin,빠진 일,shopby,t48/screens.csv:245,MALL-CHECKOUT B2B 후불결제(STD-PAY-010)는 고객 주문서 측 — 여신한도 설정 행 0
STD-B2B-005,후불 주문 승인·미결제 관리,webadmin,빠진 일,shopby,t48/screens.csv:245,후불 주문 승인·미결제 관리(운영자) 행 0
STD-B2B-006,월 마감 청구서 발행,webadmin,빠진 일,shopby,t48/screens.csv:51,SB-ORDER 증빙서류 발급 관리(STD-ADO-024)는 건별 증빙 — 월 마감 청구서 행 0
STD-B2B-007,업체별 미수금 관리,webadmin,빠진 일,shopby,t52/ledger-index.txt,원장 747행 「미수금」 0건(grep 실측) · STD-FIN-014 와 동일 기능의 구IA 표기
STD-B2B-008,거래처 원장(온·오프라인 통합),webadmin,빠진 일,shopby,t50/screens.csv:30,온·오프라인 통합 거래처 원장 행 0(MES 오프라인 주문 등록은 주문 단건)
STD-B2B-009,원장 데이터 파일 생성(.txt 연계),webadmin,빠진 일,shopby,t52/ledger-index.txt,원장 데이터 .txt 산출 행 0(grep 실측)
STD-B2B-010,대량 견적 요청 접수·회신,webadmin,빠진 일,shopby,t48/screens.csv:103,MALL-INQUIRY 기업인쇄 상담 접수(STD-CLM-019)·디자인 상담 접수(t48/screens.csv:104 STD-CLM-020)만 실재 — 대량견적 전용 접수·회신 행 0
STD-B2B-011,견적서 발행(사업자 양식),webadmin,빠진 일,shopby,t50/screens.csv:53,MES-SAL-FrmEstimate 견적서 출력(build/완료·[오픈분모밖])은 오프라인 영업용 — 커머스 B2B 견적서 발행 행 0(재사용 후보)
STD-B2B-012,세금계산서 일괄 발행,webadmin,라우팅 대상 오류,shopby,t48/screens.csv:51,SB-ORDER 증빙서류 발급 관리(STD-ADO-024·config/미착수)가 운영자 발행 창구 · 「일괄」 여부는 그 행의 세부로 흡수
STD-B2B-015,[구IA#91] 주문관리-후불결제,webadmin,빠진 일,shopby,t48/screens.csv:245,운영자 후불결제 주문관리 행 0(고객측 STD-PAY-010 만 실재) · STD-B2B-005 와 동일 축의 구IA 표기
STD-ADC-001,회원 목록·검색·상세,webadmin,라우팅 대상 오류,shopby,t48/screens.csv:85,SB-MEMBER [구IA#73] 회원관리 (주문내역/정보확인)(STD-ADC-017·config/미확인)
STD-ADC-002,회원등급 수동 조정,webadmin,빠진 일,shopby,t48/screens.csv:87,SB-MEMBER 회원등급 산정·자동 승급(STD-MEM-018)만 실재 — 수동 조정 행 0
STD-ADC-003,탈퇴회원 관리,webadmin,빠진 일,shopby,t48/screens.csv:153,MALL-MY-WITHDRAW 회원탈퇴(STD-MEM-017)는 고객 신청 · SB-MEMBER 5행에 탈퇴회원 관리 행 0
STD-ADC-005,쿠폰 생성·발행 관리,webadmin,라우팅 대상 오류,shopby,t48/screens.csv:82,SB-COUPON [구IA#76] 쿠폰관리 (발행/매칭/사용내역)(STD-PRM-018) + 쿠폰 등록·사용 내역 조회(t48/screens.csv:72 STD-ADC-006) — SB-COUPON 그룹 13행 실측
STD-ADC-007,공지사항 관리,webadmin,라우팅 대상 오류,shopby,t48/screens.csv:7,SB-BOARD [구IA#64] 공지사항 관리 (등록/수정/html생성)(STD-INF-009) — SB-BOARD 그룹 8행 실측
STD-ADC-008,FAQ 관리,webadmin,라우팅 대상 오류,shopby,t48/screens.csv:8,SB-BOARD [구IA#65] 자주묻는질문 관리(STD-INF-010)
STD-ADC-009,상품Q&A 답변 관리,webadmin,라우팅 대상 오류,shopby,t48/screens.csv:5,SB-BOARD [구IA#69] 상품Q&A (확인/답변)(STD-CLM-024)
STD-ADC-010,1:1 문의 답변 관리,webadmin,라우팅 대상 오류,shopby,t48/screens.csv:6,SB-BOARD [구IA#70] 1:1문의 (확인/답변)(STD-CLM-025)
STD-ADC-011,이용후기(리뷰) 관리·블라인드,webadmin,라우팅 대상 오류,shopby,t48/screens.csv:9,SB-BOARD [구IA#72] 이용후기관리 (관리자등록/수정)(STD-INF-011) · 「블라인드」 세부는 그 행의 하위
STD-ADC-012,대량견적/기업상담/디자인상담 접수 관리,webadmin,라우팅 대상 오류,shopby,t48/screens.csv:3,SB-BOARD [구IA#67] 기업인쇄상담(STD-CLM-022)·[구IA#68] 디자인상담(t48/screens.csv:4 STD-CLM-023) — 대량견적 몫만 STD-B2B-010 으로 남음
STD-ADC-013,메인/기획전 배너 관리,webadmin,빠진 일,shopby,t48/screens.csv:257,MALL-HOME 메인 기획전/배너 영역(STD-CAT-021·integrate/진행)은 고객 화면 — 운영자 배너 등록 행 0
STD-ADC-015,매장(거래처) 게시판 관리,webadmin,라우팅 대상 오류,shopby,t48/screens.csv:2,SB-BOARD [구IA#46] 매장게시판(STD-B2B-014·config/미확인)
STD-ADC-016,체험단 모집·신청내역 관리(운영자),webadmin,빠진 일,shopby,t48/screens.csv:255,운영자 체험단 모집·신청내역 관리 행 0(고객측 STD-PRM-011 만 실재) · STD-PRM-017 과 동일 기능
STD-FIN-001,월별 매출 통계,webadmin,빠진 일,shopby,t48/screens.csv:68,SB-STAT 4행은 [구IA#79~82] 상품통계뿐 — 월별 매출 통계 행 0
STD-FIN-002,일별/기간별 매출 조회,webadmin,빠진 일,shopby,t48/screens.csv:68,SB-STAT 에 일별/기간별 매출 조회 행 0
STD-FIN-003,결제수단별 매출 집계,webadmin,빠진 일,shopby,t48/screens.csv:68,SB-STAT 에 결제수단별 매출 집계 행 0
STD-FIN-004,상품별 판매 통계,webadmin,빠진 일,shopby,t48/screens.csv:68,[구IA#79~82]는 상품군 4종 통계 화면 — 상품별 판매 통계 행 0
STD-FIN-005,상품군별 매출 비중,webadmin,빠진 일,shopby,t48/screens.csv:68,SB-STAT 에 상품군별 매출 비중 행 0
STD-FIN-006,회원/비회원 주문 비중,webadmin,빠진 일,shopby,t48/screens.csv:68,SB-STAT 에 회원/비회원 주문 비중 행 0
STD-FIN-008,PG 정산 대사,webadmin,빠진 일,shopby,t48/screens.csv:62,SB-CLAIM 환불 실행·정산 반영(STD-ADO-023)은 클레임축 — PG 정산 대사 행 0
STD-FIN-009,적립금(프린팅머니) 부채 집계,webadmin,빠진 일,webadmin,t48/screens.csv:93,SB-POINT 3행(수동 지급·구매확정 적립·잔액 이관)만 실재 — 적립금 부채 집계 행 0
STD-FIN-010,외주 발주/정산 엑셀 산출,webadmin,빠진 일,mes,t50/screens.csv:25,MES-MFG-FrmMnfOutsource 외주 관리(STD-MFG-100·build/완료·[오픈분모밖])는 발주 등록 — 정산 엑셀 산출 행 0(재사용 후보)
STD-FIN-011,쿠폰/할인 사용액 집계,webadmin,빠진 일,shopby,t48/screens.csv:68,SB-COUPON 13행은 발행·보상 정책 — 쿠폰/할인 사용액 집계 행 0
STD-FIN-012,통계·주문 데이터 엑셀 내보내기,webadmin,빠진 일,shopby,t48/screens.csv:68,통계·주문 데이터 엑셀 내보내기 행 0
STD-FIN-013,[구IA#47] 계좌관리 (원장용 계좌 등록),webadmin,빠진 일,shopby,t48/screens.csv:17,SB-PAY 무통장 입금 계좌 등록(STD-PAY-028·config/완료)은 쇼핑몰 수납계좌 — B2B 원장용 계좌 등록은 별건·행 0
STD-FIN-014,[구IA#49] 업체별 미수금,webadmin,빠진 일,shopby,t52/ledger-index.txt,원장 747행 「미수금」 0건 · STD-B2B-007 과 동일 기능의 구IA 표기
STD-FIN-019,[구IA#84] 굿즈 발주/정산 (Excel 다운),webadmin,빠진 일,mes,t50/screens.csv:25,굿즈 발주/정산 Excel 다운 행 0(MES 외주 관리와 별건)
