row_id,found,system,evidence,note
STD-OPT-001,Y,widget,raw/webadmin/webadmin/catalog/static/catalog/widget.js:136 · raw/webadmin/webadmin/catalog/static/catalog/widget.js:1032 · huni-skin-shopby/src/components/product/huni-widget.tsx:304-313,widget.js가 attachShadow(open)로 <huni-widget> 커스텀엘리먼트를 정의하고 shopby 상품상세가 이를 마운트한다.
STD-OPT-002,Y,widget,raw/webadmin/webadmin/catalog/static/catalog/widget.js:145 · raw/webadmin/webadmin/catalog/widget_api.py:1172,widget.js가 /api/w/v1/widgets/<id>를 fetch해 서버 api_widget이 내려주는 정규화 cfg/meta 계약으로 위젯을 구동한다.
STD-OPT-003,Y,widget,raw/webadmin/webadmin/catalog/static/catalog/widget_renderer.js:5019 · raw/webadmin/webadmin/catalog/static/catalog/widget_renderer.js:5159 · raw/webadmin/webadmin/catalog/static/catalog/widget_renderer.js:5182 · raw/webadmin/webadmin/catalog/static/catalog/widget_renderer.js:2454-2493 · raw/webadmin/webadmin/catalog/static/catalog/widget_renderer.js:789-841,select(드롭다운)·radio·checkbox·swatchImg/swatchColor(이미지·색상 스와치) 렌더 분기와 src_typ_cd 기반 컴포넌트 타입 디스패치를 확인.
STD-OPT-004,Y,widget,raw/webadmin/webadmin/catalog/static/catalog/widget_renderer.js:2918-2934 · raw/webadmin/webadmin/catalog/static/catalog/widget_renderer.js:690-760,disallowedFor·memberDimOpts가 상위 선택에 따라 하위 후보를 필터링하는 캐스케이드 로직을 구현(클라이언트 필터 방식).
STD-OPT-005,Y,widget,raw/webadmin/webadmin/catalog/static/catalog/widget_renderer.js:5491-5646,dtlBlocks가 선택(toggle-on)된 공정(chosen)에 한해서만 상세옵션 하위 블록을 렌더한다.
STD-OPT-006,Y,widget,raw/webadmin/webadmin/catalog/static/catalog/widget_renderer.js:5289-5307,pv-panel/data-fold로 옵션그룹 접기·펼치기는 구현되어 있으나 진행 스텝 표시 UI는 코드에서 찾지 못했다.
STD-OPT-007,Y,widget,raw/webadmin/webadmin/catalog/static/catalog/widget_renderer.js:7867-7900,summary() 함수가 현재 선택된 전체 사양을 사람이 읽는 라벨·값 목록으로 조립해 요약 패널에 제공한다.
STD-OPT-008,Y,webadmin,raw/webadmin/webadmin/catalog/models.py:155-160 · raw/webadmin/webadmin/catalog/static/catalog/widget_renderer.js:714,TMatMaterials(mat_cd)가 자재 마스터이고 위젯 DIM 컴포넌트가 ref_key=mat_cd로 렌더한다.
STD-OPT-009,Y,webadmin,raw/webadmin/webadmin/catalog/models.py:167 · raw/webadmin/webadmin/catalog/paper_views.py:419,TMatMaterials.weight 필드가 평량이며 paper_views.py가 평량 라벨로 이 필드를 노출한다.
STD-OPT-010,Y,webadmin,raw/webadmin/webadmin/catalog/models.py:160-161 · raw/webadmin/webadmin/catalog/tmpl_combo.py:54,mat_typ_cd(자재유형코드)가 기초코드 FK라 종이 외 아크릴·PVC 등 비종이 유형(MAT_TYPE.02 등)도 같은 모델로 표현된다.
