round,snap,orphan,dead_wire,deleted_wire,total_defects,verdict,note
1,snap_20260630_1743,23,8,0,31,NO-GO(결함 31),배선 서브트랙 초기 스캔(latest 스냅샷)
2,snap_20260630_1743,23,8,0,31,R2 §18설계+검증,고아23 §13분류(REAL_GAP0·설계선행15·실무진4·정당4)→§18설계 GO10/NEEDS_FIX2/BLOCKED강등3·골든verbatim·codex divergence0·실COMMIT 인간승인대기
3,snap_20260701_0305,19,7,1,27,NO-GO(결함 27),박명함037 배선 COMMIT 후 재스캔(엽서북 보정은 미COMMIT)
4,snap_20260701_0421,15,7,1,23,NO-GO(결함 23),화이트명함040 별색 flat COMMIT 후 재스캔(박명함+화이트=8 comp 배선)
9,snap_20260701_0443,11,7,1,19,NO-GO(결함 19),LEGIT_UNUSED 4 분리(게이트 미배선정답·false-positive 제거)·라이브 무변동
10,snap_20260701_0443,9,7,1,17,NO-GO(결함 17),가격표 재확인+§13분석: 완칼타공1H6/2H6=addon(헤더택/벽걸이캘린더 옵션그룹0·PET거치대동형)→LEGIT_UNUSED. 미러3T=거울류 공식부재→§18설계후보
11,snap_20260701_1001,7,7,1,15,NO-GO(결함 15),엽서북30p COMMIT(30P 2 comp 배선+opt_cd 페이지판별)·골든6/6 PASS
12,snap_20260701_1001,6,7,1,14,NO-GO(결함 14),미러3T LEGIT_UNUSED 재분류(소비상품0·순수고아)·엽서북30p 반영
13,snap_20260701_1047,6,7,1,14,NO-GO(결함 14),지비츠156 신규출시 가격설계 COMMIT(가공opt_cd+DSC_ACR_QTY·골든8/8·use_yn=N)·dead 탈출
14,snap_20260701_1050,6,6,1,13,NO-GO(결함 13),지비츠 placeholder(ZIBITZ_TBD) 고아정리·dead 탈출
15,snap_20260701_1437,6,6,1,13,NO-GO(결함 13),모델비교 세션 재스캔: 라이브 무변동 확인
16,snap_20260701_1652,5,6,1,12,NO-GO(결함 12),"지비츠★(171) 156 동형 재배선+비규격+론칭 COMMIT·시뮬레이터 골든일치(투명16,000/스핀48,000)"
17,snap_20260701_2157,5,6,1,12,NO-GO(결함 12),세션 마무리: 문구9종 반제품분해+판형3건+072/077/082/088 자재정합 COMMIT
18,snap_20260701_2157,5,6,1,12,NO-GO(결함 12),세션 재개: 배선 CONFIRM-QUEUE 4항목 착수 전 baseline 재측정
18,snap_20260701_2227,5,6,1,12,NO-GO(결함 12),세션 재개: 신규 스냅샷(2227)으로 baseline 재측정·CONFIRM-QUEUE 4항목 착수 전
19,snap_20260702_0004,3,6,1,10,NO-GO(결함 10),포토카드/접지카드/캘린더(탁상+엽서) 3건 라이브 COMMIT+시뮬레이터 실측 확인. 폼보드는 22개 상품 §26/27 흐름에 포함하기로 보류.
20,snap_20260702_0042,3,6,1,10,NO-GO(결함 10),22개 상품(실무진 편집) 5클러스터 진단+COMMIT 완료: 모서리 긴급버그(1000배 과대청구) 교정·폼보드/무광시트커팅 파손 복구·PET배너 거치대 배선·스티커 자재 7건·선택방식 17건. 시뮬레이터 실측 전건 확인.
21,snap_20260702_1034,3,6,1,10,NO-GO(결함 10),전수 수렴 세션 시작: 신선 스냅샷(1034) baseline 재측정
22,snap_20260702_1119,0,6,0,6,NO-GO(결함 6),conv21 COMMIT 후 재스캔: 삭제오염 복원·110/020 교정·고아 은퇴·포맥스 BOARD 확장 반영
