prd_cd,prd_nm,상품군,제약시나리오,CN분류,가격영향경로,생산연관,현행상태,webadmin매핑후보,근거
PRD_000129,폼보드,보드(폼보드/포맥스),자재(A3/A2 전용)×사이즈 유효조합만 허용,CN-2,GRID-GATE(直접) mat_cd__usage_cd×siz_cd가 COMP_POSTER_FOAMBOARD 단가행 매칭을 가름·누락셀=0원 노출,U-3 Y(두께/판형 재단),제약있음(R_MATSIZ_FB×4·.03·단가행 자동유도),정형shape OK(.03 자재별 필수사이즈·폼빌더 역파싱 PASS),verify_cn2b.py+라이브 constraints(2026-07-03 실측)
PRD_000130,포맥스보드,보드(폼보드/포맥스),자재(A3/A2 전용)×사이즈 유효조합만 허용,CN-2,GRID-GATE(直접) mat×siz가 COMP_POSTER_FOAMEXBOARD 단가행 매칭을 가름·누락셀=0원,U-3 Y(두께/판형 재단),제약있음(R_MATSIZ_FX×4·.03),정형shape OK(.03),verify_cn2b.py+라이브 실측
PRD_000047,소량전단지,디지털인쇄,코팅 선택 시 종이 180g이상 필수,CN-3,PROC-COST+MAT-ROW(간접) 코팅=가격공정 on/종이두께=mat 단가행·제조불가 조합을 정상청구 차단,U-3 Y(코팅공정),제약있음(R_EXCL_COATING_THIN_PAPER·.02 금지형),정형shape OK(.02 여집합 금지·C-10 패턴),dgp-resolution M5+라이브 실측
PRD_000048,접지리플렛,디지털인쇄,코팅 선택 시 종이 180g이상 필수,CN-3,PROC-COST+MAT-ROW(간접) 동일,U-3 Y(코팅),누락(BLOCKED-UI 코팅/종이 옵션그룹 0건),정형(§7 옵션그룹 선적재 후 047 동형승격),dgp-resolution M5
PRD_000049,와이드 접지리플렛,디지털인쇄,코팅 선택 시 종이 180g이상 필수,CN-3,PROC-COST+MAT-ROW(간접) 동일,U-3 Y(코팅),누락(BLOCKED-UI 옵션그룹 0건),정형(§7 선적재 후 동형승격),dgp-resolution M5
PRD_000016,프리미엄엽서,디지털인쇄,오시·미싱 동시 불가,CN-4,PROC-COST(간접) 오시/미싱 각 후가공 공정비·동시선택시 이중청구를 차단,U-3 Y(후가공),제약있음(R_DEMO_EXC·.02 배제),정형shape OK(.02·경계원칙 정석 레퍼런스),판례P-2+라이브 실측
PRD_000016,프리미엄엽서,디지털인쇄,옵션 표시제어(visibility),AMBIG(비가격),NONE(표시제어·단가행 미참여),U-3 N,제약있음(R_DEMO_VIS·.01),점검만(가격영향無·데모 잔재 검토),라이브 실측
PRD_000018,스탠다드엽서,디지털인쇄,오시·미싱 동시 가능?,CN-4 AMBIG,PROC-COST(간접·잠정) 후가공 이중청구 방지,U-3 Y(후가공),누락(AMBIG 실무진 큐·권위 배제표기 부재),정형(.02·실무진 확인 후),dgp-resolution M8(Q-DGP-OSMS)
PRD_000041,스탠다드 쿠폰/상품권,디지털인쇄,오시·미싱 동시 가능?,CN-4 AMBIG,PROC-COST(간접·잠정),U-3 Y(후가공),누락(AMBIG 실무진 큐),정형(.02·확인 후),dgp-resolution M8
PRD_000042,프리미엄 쿠폰/상품권,디지털인쇄,오시·미싱 동시 가능?,CN-4 AMBIG,PROC-COST(간접·잠정),U-3 Y(후가공),누락(AMBIG 실무진 큐),정형(.02·확인 후),dgp-resolution M8
