system,group,screen_id,screen_name,role,function,work_type,counterpart,direction,owner_side,plan_row_id,status,evidence
pagebuilder,사이트·페이지 관리,pc-dashboard,Pie Canvas 대시보드,운영자(CS·상품),내 사이트·디자인·프로젝트 목록 조회,provided,,,,STD-SYS-021,미확인,_workspace/huni-page-compose/01_recon/pie-canvas-model.md:25-31 (테스트 계정 사이트 0개 · 대시보드 200 확인까지)
pagebuilder,사이트·페이지 관리,pc-site-list,사이트 목록(/sites),운영자(CS·상품),사이트 생성·열기 진입점,provided,,,,STD-SYS-021,미확인,_workspace/huni-page-compose/01_recon/pie-canvas-model.md:29 (테스트 계정에서 HTTP 500 재현 — 파트너사 확인 요청 C4)
pagebuilder,사이트·페이지 관리,pc-site-pages,사이트 페이지 구성,운영자(CS·상품),페이지 추가·slug 지정·정렬·네비 숨김(page 스키마),config,,,,STD-SYS-021,미착수,_workspace/huni-page-compose/01_recon/pie-canvas-engine-capabilities.md:38-47
pagebuilder,사이트·페이지 관리,pc-site-headerfooter,사이트 공통영역(Header/Footer),운영자(CS·상품),여러 페이지 공통 머리말·꼬리말 1벌 편집,config,,,,STD-SYS-021,미착수,_workspace/huni-page-compose/01_recon/pie-canvas-model.md:81
pagebuilder,사이트·페이지 관리,pc-site-theme,사이트 테마,운영자(CS·상품),사이트 단위 테마 적용,config,,,,STD-SYS-021,미착수,_workspace/huni-page-compose/01_recon/pie-canvas-model.md:39
pagebuilder,사이트·페이지 관리,pc-site-duplicate,사이트·페이지 복제,운영자(CS·상품),사이트 전체 또는 페이지 복제(복제본은 별도 주소·저장기록 — 현행 fan-out 원인),config,,,,STD-SYS-021,진행,_workspace/huni-page-compose/01_recon/pie-canvas-model.md:56-61 · 실측 사이트 3개(_workspace/huni-page-compose/99_proposal/proposal.md:22-26)
pagebuilder,사이트·페이지 관리,pc-editor-hardnav,편집기 하드 내비 진입,운영자(CS·상품),주소 직접입력·새로고침으로 편집기 열기 — 현재 HTTP 500(P0 버그 B1),integrate,pagebuilder,pagebuilder→pagebuilder,pagebuilder,NEW,미착수,_workspace/huni-page-compose/99_proposal/proposal.md:170 (NEW — 파트너사 코드 수정이라 후니 계획행에 대응 없음 · 우리가 고칠 수 없음)
pagebuilder,블록 편집,pc-block-palette,블록 팔레트(30종),운영자(CS·상품),텍스트·미디어·데이터·임베드·레이아웃 블록 삽입,provided,,,,STD-SYS-021,미착수,_workspace/huni-page-compose/01_recon/pie-canvas-engine-capabilities.md:12-31
pagebuilder,블록 편집,pc-block-synced,동기화 블록,운영자(CS·상품),원본 1벌 편집 → 같은 사이트 전 인스턴스 동시 반영,config,,,,STD-SYS-021,미착수,_workspace/huni-page-compose/01_recon/pie-canvas-engine-capabilities.md:104-118
pagebuilder,블록 편집,pc-block-synced-detach,동기화 블록 연결 해제,운영자(CS·상품),특정 위치만 다르게 편집(detach) · 원본 삭제해도 모양 유지,config,,,,STD-SYS-021,미착수,_workspace/huni-page-compose/01_recon/pie-canvas-engine-capabilities.md:106-116
