prd_cd,product_group,axis,needed,owner_inspector,verdict,confidence,evidence,note
PRD_000052,스티커,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,스티커 추가상품 미표기
PRD_000052,스티커,옵션그룹,Y,cpq-link,MATCH,HIGH,라이브 옵션그룹 존재; 하위 옵션항목 polymorphic ref 100% 해소(DEAD_LINK 0),주문방법·커팅·별색 택일
PRD_000052,스티커,제약규칙,N,cpq-link,N/A,HIGH,needed=N(제약 별표 없음); 라이브 constraint 부재=정합,제약 별표 없음
PRD_000052,스티커,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,추가상품 미동반
PRD_000053,스티커,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,스티커 추가상품 미표기
PRD_000053,스티커,옵션그룹,Y,cpq-link,MATCH,HIGH,라이브 옵션그룹 존재; 하위 옵션항목 polymorphic ref 100% 해소(DEAD_LINK 0),주문방법·커팅·별색 택일
PRD_000053,스티커,제약규칙,N,cpq-link,N/A,HIGH,needed=N(제약 별표 없음); 라이브 constraint 부재=정합,제약 별표 없음
PRD_000053,스티커,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,추가상품 미동반
PRD_000054,스티커,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,스티커 추가상품 미표기
PRD_000054,스티커,옵션그룹,Y,cpq-link,MISSING,HIGH,옵션레이어 전무(option_groups 0행)=시뮬레이터 차원환원 불가(배치1·2 동형 패턴),주문방법·커팅·별색 택일
PRD_000054,스티커,제약규칙,N,cpq-link,N/A,HIGH,needed=N(제약 별표 없음); 라이브 constraint 부재=정합,제약 별표 없음
PRD_000054,스티커,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,추가상품 미동반
PRD_000055,스티커,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,스티커 추가상품 미표기
PRD_000055,스티커,옵션그룹,Y,cpq-link,MATCH,HIGH,라이브 옵션그룹 존재; 하위 옵션항목 polymorphic ref 100% 해소(DEAD_LINK 0),주문방법·커팅·별색 택일
PRD_000055,스티커,제약규칙,N,cpq-link,N/A,HIGH,needed=N(제약 별표 없음); 라이브 constraint 부재=정합,제약 별표 없음
PRD_000055,스티커,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,추가상품 미동반
PRD_000056,스티커,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,스티커 추가상품 미표기
PRD_000056,스티커,옵션그룹,Y,cpq-link,MISSING,HIGH,옵션레이어 전무(option_groups 0행)=시뮬레이터 차원환원 불가(배치1·2 동형 패턴),주문방법·커팅·별색 택일
PRD_000056,스티커,제약규칙,N,cpq-link,N/A,HIGH,needed=N(제약 별표 없음); 라이브 constraint 부재=정합,제약 별표 없음
PRD_000056,스티커,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,추가상품 미동반
