system,group,screen_id,screen_name,role,function,work_type,counterpart,direction,owner_side,plan_row_id,status,evidence
pitstop,서버·프로파일 설정,PS-01,PitStop Server 환경 확보,관리자,Windows·RAM16GB·AWS 별도 인스턴스 프로비저닝,config,-,-,pitstop,STD-SYS-031,미착수,"후니정기미팅 정리260915.html §PDF 프리플라이트 미결2 · planrows-pitstop.csv STD-SYS-031; grep 결과(아래 참조)로 코드/구성 0건 확인 · 재판정(보충2): 우리 코드 0 · AWS 콘솔에서 인스턴스 생성+PitStop 설치프로그램/라이선스 등록만 하는 성격이라 '관리화면에서 설정·등록만'에 해당 -> config 유지(관리화면=AWS 콘솔+PitStop 설치 마법사, 별도 커스텀 로직 없음)"
pitstop,서버·프로파일 설정,PS-07,PitStop 프로파일(자동목록 A) 확정,운영자(CS·상품),자동 재업로드 대상 오류 목록(A목록)을 PitStop 프로파일 확정 시 접수담당자와 함께 고정,config,-,-,pitstop,NEW,미착수,raw/webadmin/docs/order-to-mes-process.md §5.2·§12-6(★12-6) · 원장에 '프로파일 확정' 자체를 다루는 행 없음(A목록 초안만 STD-ART 시리즈에 존재)
pitstop,원고 수집,PS-08,승격본→PitStop 인입(S3↔서버 파일 이동),시스템(무인),order 버킷 승격 완료본을 PitStop 서버(핫폴더/CLI)로 전달,integrate,pitstop,webadmin→pitstop,webadmin,STD-ART-035,미착수,_workspace/huni-launch-runway/07_rebaseline/L0/M3/preflight-architecture.md §4 '오케스트레이션 n8n ❌ 미구축' · §4 '트리거 S3 이벤트/폴링→SQS ❌ 미구성'
pitstop,프리플라이트 실행,PS-09,검사 없이 PitStop 투입 경로 차단,시스템(무인),바이러스 검사 통과분만 PitStop 핫폴더로 넘기도록 코드상 강제,integrate,pitstop,webadmin→pitstop,webadmin,STD-MFG-053,미착수,raw/webadmin/docs/artwork-scan-integration.md '작업 폴더 정책' 섹션(설계만) · grep 0건(아래)
pitstop,프리플라이트 실행,PS-10,파일 포맷 유효성 검사,시스템(무인),PDF가 PitStop 프로파일을 통과/경고/실패로 판정,provided,-,-,-,STD-ART-008,미착수,X-DEC-FILECHECK-01 OQ-G11 파일검수기준 미확정(1차) · planrows-pitstop.csv STD-ART-008; grep pitstop 0건(webadmin 앱코드)
pitstop,프리플라이트 실행,PS-11,재단선/블리드 3mm 확보 검사,시스템(무인),재단 여백(도련) 유무·정도를 PitStop이 판정,provided,-,-,-,STD-ART-009,미착수,order-to-mes-process.md §5.2 A목록 '재단 여백이 아예 없음' / B목록 '여백 소폭 부족' · planrows-pitstop.csv STD-ART-009
pitstop,프리플라이트 실행,PS-12,색공간(CMYK) 검사 및 RGB 경고,시스템(무인),RGB→CMYK 변환·별색 채널 정리 필요 여부 판정,provided,-,-,-,STD-ART-010,미착수,order-to-mes-process.md §5.2 B목록 'RGB→CMYK 변환' · planrows-pitstop.csv STD-ART-010
pitstop,프리플라이트 실행,PS-13,해상도(dpi) 검사,시스템(무인),150~300dpi 구간 저해상도 여부 판정,provided,-,-,-,STD-ART-011,미착수,order-to-mes-process.md §5.2 B목록 '약간의 저해상도(150~300dpi)' · planrows-pitstop.csv STD-ART-011
pitstop,프리플라이트 실행,PS-14,폰트 아웃라인 여부 검사,시스템(무인),폰트 미포함으로 열리지 않는지 판정,provided,-,-,-,STD-ART-012,미착수,order-to-mes-process.md §5.2 A목록 '폰트 미포함으로 열리지 않음' · planrows-pitstop.csv STD-ART-012·STD-MFG-044([구분:STD-ART-012] 동일 항목 중복 카드)
pitstop,프리플라이트 실행,PS-15,주문 사양-파일 실측 사이즈 대조,시스템(무인),페이지수·인쇄크기가 주문 사양과 일치하는지 대조,provided,-,-,-,STD-ART-013,미착수,order-to-mes-process.md §5.2 A목록 '페이지 수가 주문 사양과 다름'·'실제 인쇄 크기가 주문 규격과 명백히 다름' · planrows-pitstop.csv STD-ART-013·STD-MFG-046(중복 카드)
