대분류,중분류,담당,sub_track,근거
상품·카탈로그,,쇼핑개발,web,260616 01_역할정의 「쇼핑몰 사용자 전반」 · 카탈로그 노출은 샵바이 스토어프론트
상품·카탈로그,상품상세,쇼핑개발,builder,260616 01_역할정의 「상세페이지 빌더」 · Phase1 G1 상세빌더
상품·카탈로그,콘텐츠,쇼핑개발,builder,상세페이지 콘텐츠 블록 = 빌더 산출물(같은 근거)
옵션·견적,,인쇄개발,-,260616 01_역할정의 「고객 인쇄상품 옵션위젯·실시간가격(3엔진)·가이드·견적」
원고·파일,,인쇄개발,-,ARCHITECTURE-v2 §10.1 A-1·A-2 철회 — 파일업로드·에디터 호출이 위젯(webadmin) 내부에 구현돼 있다(WGT_SRC_TYPE.09 427건 · .10 212건). 260616 이 쇼핑개발로 둔 초안을 라이브 실증으로 뒤집음
원고·파일,미리보기,쇼핑개발,web,260616 D2 미리보기 · 위젯 밖 상세화면 표시 지점
장바구니·주문,,쇼핑개발,web,260616 01_역할정의 「주문전환·플로팅·장바구니」 F1~F4
결제,,쇼핑개발,web,260616 01_역할정의 「주문/결제 플로우」
결제,결제수단,PM,-,N1 open-questions D-1 「어떤 결제수단을 열 것인가 — 결정 기록 자체가 없다」 · 원천사 심사 리드타임이 일정을 규정
결제,증빙,PM,-,N1 D-2 · N3 §4 「증빙 정책 확정」 · A-21 대응책 부재
배송,,쇼핑개발,web,260616 01_역할정의 「스토어프론트·주문/결제 플로우」
배송,배송비,PM,-,N3 §4 U-7·U-7b 「운영정책 260827 문구를 어떻게 할 것인가」 · A-20 문구 정정(시스템 개발 0)
회원·인증,,쇼핑개발,web,260616 01_역할정의 「쇼핑몰 사용자 전반」 · L2 SB-038 등 auth 라우트가 shopby 저장소
마이페이지,,쇼핑개발,web,같은 근거 — 마이페이지는 샵바이 스토어프론트 화면
클레임·CS,,쇼핑개발,web,N1 상태머신 — 클레임은 샵바이 표준 상태·API 위에서 동작
프로모션,,쇼핑개발,web,260616 Phase2 「쿠폰·머니·증빙·고객센터」 쇼핑개발 범위
B2B,,쇼핑개발,web,260616 Phase2 「거래처/원장·통계·후불」 쇼핑개발 범위
B2B,세금,PM,-,증빙 정책과 같은 결정 축(N1 D-2)
정산·통계,,쇼핑개발,web,260616 Phase2 「통계」 쇼핑개발 범위
정보·콘텐츠,,PM,-,260616 01_역할정의 PM 「약관·가이드 콘텐츠」 · 게시 지점은 빌더(예외표)
운영자·상품가격,,인쇄개발,-,260616 01_역할정의 「관리자 상품관리(상품·사이즈·소재·용지·가격)」
운영자·주문운영,,쇼핑개발,web,260616 01_역할정의 「관리자 커머스 운영」
운영자·주문운영,생산,인쇄개발,-,생산 지시·진행은 webadmin/MES 축(M3 process-route.md)
운영자·주문운영,검수,인쇄개발,-,원고 검판은 webadmin 화면(M3 auto-vs-human §2.2 접수·검판)
운영자·주문운영,외주,인쇄개발,-,외주 발주는 생산 축(M3 §2.7)
운영자·회원CS,,쇼핑개발,web,260616 01_역할정의 「관리자 커머스 운영」
시스템·플랫폼,,쇼핑개발,web,플랫폼 연동·권한·설정은 shopby 저장소 경계(L2 service-dependency 18종 call_sites 대부분 huni-skin-shopby)
생산·공정,,인쇄개발,-,M3 생산축 135행 — 전부 webadmin·MES 경계. 260616 IA 144 에는 없던 신설 축
