std_id,대분류,기능,매핑legacy_id,매핑asis_id,상태,근거,사유
STD-ADP-001,운영자·상품가격,사이즈 마스터 등록·관리,F-105;SCOPE-105;IA-105;SCOPE-101;IA-101;P-SIZEMAP-214-01;P-WRONGCODE-4-01;P-DEDUP-SIZE-BLOCKED-01;P-DELYN-SIZE-01;P-PRINTLY-HUNI-SIZE-01;P-REVERSE-4-01;P-BLEED-32-01;X-DEC-DELYN-576-01;X-POSTER-SIZNUM-01,WA-011;WA-013,done,raw/webadmin/webadmin/config/urls.py:339 기초코드 마스터 CRUD · raw/webadmin/webadmin/config/urls.py:344 master/<entity> · raw/webadmin/webadmin/catalog/admin.py:2049 catalog 전 모델 제네릭 admin 자동등록,그릇·화면은 라이브. 붙은 legacy 8건은 전부 데이터 결함(중복·오코드·논리삭제)이지 기능 부재가 아니다
STD-ADP-002,운영자·상품가격,소재(자재) 마스터 등록·관리,F-106;SCOPE-106;IA-106;SCOPE-102;IA-102;P-MATPOLLUTE-26-01;P-MATPOLLUTE-WIDGET-3-01;P-MAT-PRICEGAP-01;P-NAMECARD-MAT-01;P-PRD042-MISWIRE-01;P-DEDUP-AXISMOVE-01;X-CONFIRM-MAT32-01,WA-013;WA-015,done,raw/webadmin/webadmin/catalog/admin.py:2158 TMatMaterials 스와치 업로드 admin · raw/webadmin/webadmin/config/urls.py:316 색상칩 스테이징,자재 마스터 화면 존재. 오염 26행 등은 데이터 교정 과제
STD-ADP-003,운영자·상품가격,용지·평량 마스터 관리,F-107;SCOPE-107;IA-107;SCOPE-103;IA-103,WA-014,done,raw/webadmin/webadmin/config/urls.py:304 paper-management · raw/webadmin/webadmin/catalog/admin.py:2052 TPaperMaterials 전용 PaperAdmin,용지 전용 화면 + 단가 관리 라이브
STD-ADP-004,운영자·상품가격,도수/색상 코드 관리,X-DEC-FRMTYP-01;P-DIGITAL-BW-01,WA-013;WA-015,done,raw/webadmin/webadmin/catalog/admin.py:2178 TPrtPrintOptions 인쇄면 폼 처리 · raw/webadmin/webadmin/config/urls.py:316 색상칩,도수/색상 코드 마스터는 제네릭 admin + 인쇄옵션 전용 분기
STD-ADP-005,운영자·상품가격,공정(후가공) 마스터 관리,P-DEDUP-PROC-3-01;P-USAGECD-3-01;X-SENSOR-DIMBLIND-01,WA-013,done,raw/webadmin/webadmin/catalog/admin.py:2145 TPrcProcesses 스와치/필드셋 분기 · raw/webadmin/webadmin/config/urls.py:344,공정 마스터 화면 존재
STD-ADP-006,운영자·상품가격,공정 택일그룹 관리,P-PETBANNER-136-01;P-CONSTRAINT-OG-048-01,WA-003,done,raw/webadmin/webadmin/catalog/admin.py:1595 '(제거됨 — Phase 7/07-08) 공정 택일그룹 모델: 옵션그룹으로 흡수·DROP' · raw/webadmin/webadmin/config/urls.py:356-360 옵션그룹 CRUD,전용 그릇은 DROP되고 옵션그룹 sel_typ 가 택일을 대행 — 기능은 살아있고 위치가 바뀐 케이스
STD-ADP-007,운영자·상품가격,판형(출력판형)·판걸이수 관리,X-ENGINE-PANSU-01;P-GOODS-AXIS-NORM-01;X-CONFIRM-SET-3-01,WA-001;WA-013,done,raw/webadmin/webadmin/catalog/admin.py:1592 TPrdProductPlateSizes 상품 인라인 · raw/webadmin/webadmin/config/urls.py:333 상품 뷰어,판형은 상품 인라인으로 관리. 판걸이수 fn_calc_pansu 자재종속 결함(X-ENGINE-PANSU)은 코드트랙
STD-ADP-008,운영자·상품가격,제본 방식 마스터 관리,,WA-016,done,raw/webadmin/webadmin/config/urls.py:320-330 책등(spine) 계산 규칙 · raw/webadmin/webadmin/catalog/spine_calc.py:1,제본 방식·책등 규칙 화면 존재. 대응 legacy 없음(누락 아님 — 아래 사유)
STD-ADP-009,운영자·상품가격,기초코드 논리삭제·이름변경 정책 적용,X-CONFIRM-BASECODE-5-01;X-DEC-HYPHEN-01;X-ENGINE-DELYNFILTER-01;X-DESET-01,WA-011;WA-058,partial,raw/webadmin/webadmin/catalog/admin.py:2244 제네릭 admin 기본구성(list_display·검색·채번·del_yn),"논리삭제 del_yn 은 전 모델 공통이나, 셋트행 논리삭제 경로 부재(X-DESET)·엔진 del_yn 미필터(X-ENGINE-DELYNFILTER)로 정책이 관통되지 않음"
STD-ADP-010,운영자·상품가격,인쇄/제본 상품 등록,F-100;SCOPE-100;IA-100;P-L0-7-01;SCOPE-158;F-158,WA-001;WA-002,done,raw/webadmin/webadmin/config/urls.py:333 상품 뷰어(목록/상세) · raw/webadmin/webadmin/config/urls.py:353 섹션별 편집 · raw/webadmin/webadmin/catalog/admin.py:2064 TPrdProducts,인쇄/제본 상품 등록은 상품뷰어+제네릭 admin 으로 라이브
