axis,axis_name,row_id,track,step,title,status,verdict,owner_proposed,judged_by,prereq,evidence,axis_note
1,위젯·가격,STD-ADP-006,T2,A1,공정 택일그룹 관리,구현-미검증,담당맞음,서희항,evidence-path,—,raw/webadmin/webadmin/catalog/admin.py:1595 '(제거됨 — Phase 7/07-08) 공정 택일그룹 모델: 옵션그룹으로 흡수·DROP' · raw/webadmin/webadmin/config/urls.py:356-360 옵션그룹 CRUD,리드 초안은 STD-ADP 11행을 ⑤ 인프라에 넣었으나 실측 결과 webadmin 기준정보·가격 관리화면이다(urls.py:356-360 옵션그룹·:371 제약·:144-148 단가그리드) → ①
1,위젯·가격,STD-ADP-008,T2,A1,제본 방식 마스터 관리,구현-미검증,담당맞음,서희항,merged-owner_side,—,raw/webadmin/webadmin/config/urls.py:320-330 책등(spine) 계산 규칙 · raw/webadmin/webadmin/catalog/spine_calc.py:1,리드 초안은 STD-ADP 11행을 ⑤ 인프라에 넣었으나 실측 결과 webadmin 기준정보·가격 관리화면이다(urls.py:356-360 옵션그룹·:371 제약·:144-148 단가그리드) → ①
1,위젯·가격,STD-ADP-017,T2,A3,상품별 옵션그룹 구성,구현-미검증,담당맞음,서희항,merged-owner_side,—,raw/webadmin/webadmin/config/urls.py:356-360 옵션그룹/옵션/항목 CRUD,리드 초안은 STD-ADP 11행을 ⑤ 인프라에 넣었으나 실측 결과 webadmin 기준정보·가격 관리화면이다(urls.py:356-360 옵션그룹·:371 제약·:144-148 단가그리드) → ①
1,위젯·가격,STD-ADP-019,T2,A3,옵션 참조 무결성 검증,구현-미검증,담당맞음,서희항,evidence-path,—,raw/webadmin/webadmin/config/urls.py:373 상품 유효성 검증(validate),리드 초안은 STD-ADP 11행을 ⑤ 인프라에 넣었으나 실측 결과 webadmin 기준정보·가격 관리화면이다(urls.py:356-360 옵션그룹·:371 제약·:144-148 단가그리드) → ①
1,위젯·가격,STD-ADP-021,T2,A3,제약규칙 등록(UI 폼빌더),구현-미검증,담당맞음,서희항,merged-owner_side,—,raw/webadmin/webadmin/config/urls.py:371 제약규칙(JSONLogic) 관리 · raw/webadmin/webadmin/catalog/models.py:801 제약 모델,리드 초안은 STD-ADP 11행을 ⑤ 인프라에 넣었으나 실측 결과 webadmin 기준정보·가격 관리화면이다(urls.py:356-360 옵션그룹·:371 제약·:144-148 단가그리드) → ①
1,위젯·가격,STD-ADP-022,T2,A3,제약규칙 시뮬레이션·미리보기,구현-미검증,담당맞음,서희항,merged-owner_side,—,raw/webadmin/webadmin/config/urls.py:169 price_sim_constraints — '제약 cascade: 현재 선택 → 각 차원 불가값(비활성)',리드 초안은 STD-ADP 11행을 ⑤ 인프라에 넣었으나 실측 결과 webadmin 기준정보·가격 관리화면이다(urls.py:356-360 옵션그룹·:371 제약·:144-148 단가그리드) → ①
1,위젯·가격,STD-ADP-025,T2,A2,단가행 일괄 등록(엑셀 업로드),구현-미검증,담당맞음,서희항,merged-owner_side,—,raw/webadmin/webadmin/catalog/price_views.py:1650 '그리드에 보이는 행이 곧 이 구성요소의 전체 단가표(엑셀처럼)' · raw/webadmin/webadmin/catalog/templates/catalog/comp_price_grid_page.html:142-145 엑셀 복사·붙여넣기,리드 초안은 STD-ADP 11행을 ⑤ 인프라에 넣었으나 실측 결과 webadmin 기준정보·가격 관리화면이다(urls.py:356-360 옵션그룹·:371 제약·:144-148 단가그리드) → ①
1,위젯·가격,STD-ADP-026,T2,A2,단가유형(단가형/합가형) 설정,구현-미검증,담당맞음,서희항,merged-owner_side,—,raw/webadmin/webadmin/catalog/admin.py:2816 'Phase 11: 사용차원 순서지정 위젯 + 단가유형 그룹제한(basecodes prc_typ_cd)',리드 초안은 STD-ADP 11행을 ⑤ 인프라에 넣었으나 실측 결과 webadmin 기준정보·가격 관리화면이다(urls.py:356-360 옵션그룹·:371 제약·:144-148 단가그리드) → ①
1,위젯·가격,STD-ADP-028,T2,A2,면적 매트릭스 단가 관리,구현-미검증,담당맞음,서희항,evidence-path,—,raw/webadmin/webadmin/config/urls.py:144-148 단가 그리드(차원 조합 행) · raw/webadmin/webadmin/catalog/pricing.py:1 evaluate_price,리드 초안은 STD-ADP 11행을 ⑤ 인프라에 넣었으나 실측 결과 webadmin 기준정보·가격 관리화면이다(urls.py:356-360 옵션그룹·:371 제약·:144-148 단가그리드) → ①
1,위젯·가격,STD-CAT-039,T2,A1,목록 시작가 자동 계산(위젯 기본값) — 오리지널 명함만 수기 입력,부분,담당맞음,서희항,merged-owner_side,—,후니정기미팅 정리260915.html §가격·템플릿 데이터 · 확정 1,목록 시작가 자동 계산 = 위젯 기본값 산출 → ①
