gap_id,process_id,process_name,대분류,종류,종류설명,내용,제안담당,선행
G-t62-001,P01,회원가입(이메일 식별자),회원·인증,다,다 — 코드는 있는데 연결 안 됨,약관 동의값(`joinTermsAgreements`)·마케팅 수신동의(`smsAgreed`·`directMailAgreed`)를 폼이 수집하지만 가입 요청에 싣지 않는다 — 몰 약관 ID 매핑이 없다. 샵바이 `POST /profile` 스펙에는 세 필드가 모두 있다.,김동학,운영자가 셀러어드민에서 약관 ID 확정
G-t62-002,P01,회원가입(이메일 식별자),회원·인증,나,나 — 행은 있는데 코드 0,가입완료 혜택 자동지급(`STD-MEM-006`) 행은 있으나 코드·설정 지점을 찾지 못했다 — 샵바이 네이티브 혜택인지 별도 구현인지 미확정.,최숙진,쿠폰 발행 설계(P19) 확정
G-t62-003,P01,회원가입(이메일 식별자),회원·인증,라,라 — 결정 미정,로그인 식별자 정책(이메일 전용 vs 아이디)이 미확정 — 현재 코드는 `memberId = email` 로 고정돼 있다.,지니·신우진,없음
G-t62-004,P02,소셜 로그인 가입·연결,회원·인증,나,나 — 행은 있는데 코드 0,`STD-MEM-023`(앱 등록·Redirect URI `{origin}/oauth/callback`)은 코드가 아니라 설정 작업 — 셀러어드민과 각 개발자센터에서 등록됐는지 확인하지 못했다.,최숙진,몰 도메인(origin) 확정
G-t62-005,P02,소셜 로그인 가입·연결,회원·인증,라,라 — 결정 미정,소셜 계정 연결 해제(unlink)·같은 이메일의 일반가입 계정과의 병합 정책이 원장에 없고 결정도 없다.,신우진,식별자 정책(`STD-MEM-022`) 확정
G-t62-006,P03,로그인·세션 유지·비회원 세션,회원·인증,다,다 — 코드는 있는데 연결 안 됨,휴면(dormant) 응답 필드(`expireIn`)를 타입에는 두었으나 휴면 안내·해제 화면으로 이어지는 분기를 찾지 못했다 — P06 과 끊겨 있다.,김동학,휴면 정책(`STD-MEM-019`) 확정
G-t62-007,P04,계정 찾기(아이디·비밀번호),회원·인증,나,나 — 행은 있는데 코드 0,"화면·폼은 있으나 두 기능 모두 ""준비 중입니다"" 토스트로 끝난다. 샵바이 shop API 에는 `/profile/find-id`·`/profile/find-password`·`/profile/password/sending-email-with-url` 이 모두 있다 — 배선만 남았다.",김동학,없음
G-t62-008,P05,회원정보 변경·탈퇴,회원·인증,다,다 — 코드는 있는데 연결 안 됨,비밀번호 재확인 게이트(`/profile/check-password`)가 샵바이 스펙에는 있으나 `/mypage/account` 진입에 걸려 있는지 확인하지 못했다.,김동학,없음
G-t62-009,P05,회원정보 변경·탈퇴,회원·인증,라,라 — 결정 미정,탈퇴 시 프린팅머니 잔액·미사용 쿠폰 처리 규칙이 원장에도 결정에도 없다.,최숙진·신우진,프린트머니 원장 소유 결정(`STD-MYP-051`)
G-t62-010,P06,회원등급·휴면 생애주기,회원·인증,나,나 — 행은 있는데 코드 0,등급·휴면 모두 샵바이 server API(`/grades`·`/profile/grades`·`/profile/dormant`·`/profile/dormant-release`)와 shop API(`/member-grades`·`/profile/dormancy`)가 있으나 huni-mall·webadmin 어디에서도 호출 지점을 찾지 못했다.,서희항·최숙진,등급 체계(등급 수·기준) 확정
G-t62-011,P06,회원등급·휴면 생애주기,회원·인증,라,라 — 결정 미정,등급 체계 자체(몇 등급·기준 금액·혜택)가 원장에도 결정 문서에도 없다.,지니·최숙진,없음
G-t62-012,P06,회원등급·휴면 생애주기,회원·인증,가,가 — 원장에 행 없음,휴면 전환 사전 고지(메일·SMS) 발송이 원장에 행으로 없다 — 정보통신망법상 사전 통지가 필요하다.,최숙진,휴면 정책 확정
G-t62-013,P07,구 사이트 회원·프린트머니 잔액 이관,회원·인증,라,라 — 결정 미정,이관·PitStop 연동 담당이 `미정` 이다(`STD-MYP-024`). 담당이 없으면 시작할 수 없다.,신우진,없음
G-t62-014,P07,구 사이트 회원·프린트머니 잔액 이관,회원·인증,나,나 — 행은 있는데 코드 0,프린트머니 시드를 받을 그릇(`t_pm_charge_txn`)이 webadmin 에 없다 — 저장소 전체 검색에서 한 건도 찾지 못했다.,서희항,`STD-MYP-043`(M1 원장 생성)
G-t62-015,P07,구 사이트 회원·프린트머니 잔액 이관,회원·인증,라,라 — 결정 미정,이관 시점의 잔액 기준일·동결 구간(구 사이트 사용 중지 시각)이 정해져 있지 않다.,신우진·지니,컷오버 일정
G-t62-016,P08,마이페이지 주문 조회·상세,마이페이지,다,다 — 코드는 있는데 연결 안 됨,편집상품 미리보기 버튼이 데드 버튼이다 — `configurator-actions.tsx:170-176` 에 `onClick` 이 없다. 미리보기 산출물 자체는 Edicus/위젯 몫이라 양쪽이 끊겨 있다.,김동학 + 서희항,Edicus 미리보기 URL 계약 확정
G-t62-017,P08,마이페이지 주문 조회·상세,마이페이지,나,나 — 행은 있는데 코드 0,마이페이지 통합 검색결과 LIST 화면(`STD-MYP-019`)의 코드를 찾지 못했다.,김동학,IA 확정
G-t62-018,P08,마이페이지 주문 조회·상세,마이페이지,라,라 — 결정 미정,"주문 상세에 ""사양""(위젯 옵션 조합)을 어디서 읽어올지 — 샵바이 주문 옵션인지 webadmin 위젯 주문인지 확정되지 않았다.",김동학·서희항,order/register 경로 선택(t61 결정 안건)
G-t62-019,P09,편집 디자인·옵션 보관함,마이페이지,라,라 — 결정 미정,저장 시점(저장 버튼 vs 편집 종료 자동)·확대 범위(편집상품만 vs 일반상품)가 모두 미결이다. 두 결정이 없으면 화면을 그릴 수 없다.,신우진,없음
G-t62-020,P09,편집 디자인·옵션 보관함,마이페이지,나,나 — 행은 있는데 코드 0,보관함 저장·조회를 받을 API·테이블을 huni-mall·webadmin 어디에서도 찾지 못했다.,김동학·서희항,저장 시점 결정
G-t62-021,P09,편집 디자인·옵션 보관함,마이페이지,가,가 — 원장에 행 없음,보관기간 만료 사전 안내(만료 D-N 알림) 행이 원장에 없다.,최숙진,보관 기간 정책 확정
G-t62-022,P10,프린팅머니 충전(무통장·가상계좌),마이페이지,라,라 — 결정 미정,원장 소유(A vs B′)가 미결이다 — 이 하나가 M0~M6 전부의 선행이다. 결정 전에는 어느 시스템에 그릇을 만들지조차 정할 수 없다.,지니,없음
G-t62-023,P10,프린팅머니 충전(무통장·가상계좌),마이페이지,라,라 — 결정 미정,"토스 가상계좌 연동 담당이 `미정`, M0~M6 6개 마일스톤의 담당도 모두 `미정` 이다.",신우진,원장 소유 결정
G-t62-024,P10,프린팅머니 충전(무통장·가상계좌),마이페이지,다,다 — 코드는 있는데 연결 안 됨,충전 화면은 있으나 `useChargePoint` 가 `null` 을 반환하는 no-op mock 이다 — `legacy-data/hooks.ts:423-431`. 화면만 있고 아무 일도 일어나지 않는다.,김동학,M1 원장 생성
G-t62-025,P10,프린팅머니 충전(무통장·가상계좌),마이페이지,다,다 — 코드는 있는데 연결 안 됨,"`/mypage/money` 는 ""UI 전용(정적)""이고 잔액이 상수 `0` 이다 — `money-section.tsx:8,52`. 같은 몰 안에 `/mypage/point`(샵바이 적립금 실연동)와 둘로 갈려 있다.",김동학,`STD-MYP-054` 메뉴 중복 정리
