sheet,gubun,prd_nm,mes_item_cd,source_values
디지털인쇄,엽서,프리미엄엽서,001-0001,316x467
디지털인쇄,,코팅엽서,001-0002,316x467
디지털인쇄,,스탠다드엽서,001-0003,316x467
디지털인쇄,,투명엽서,001-0004,315x467
디지털인쇄,,화이트인쇄엽서,001-0006,316x467
디지털인쇄,,핑크별색엽서,,316x467
디지털인쇄,,금은별색엽서,,316x467
디지털인쇄,,모양엽서,,316x467
디지털인쇄,포토카드,포토카드,001-0012,316x467
디지털인쇄,,투명포토카드,001-0013,315x467
디지털인쇄,,종이슬로건,001-0014,316x467 | 316x467
디지털인쇄,접지카드,2단접지카드,001-0014,316x467
디지털인쇄,,미니접지카드,,316x467 | 316x467
디지털인쇄,,3단접지카드,001-0009,316x467 | 316x467 | 316x467 | 316x467
디지털인쇄,,지그재그엽서,001-0010,330x660 | 330x660
디지털인쇄,명함,프리미엄명함,003-0001,316x467 | 316x467 | 316x467
디지털인쇄,,코팅명함,003-0002,316x467 | 316x467
디지털인쇄,,스탠다드명함,003-0003,316x467 | 316x467
디지털인쇄,,펄명함,003-0004,316x467
디지털인쇄,,모양명함,003-0007,316x467
디지털인쇄,,미니모양명함,003-0008,316x467
디지털인쇄,,오리지널박명함,003-0009,
디지털인쇄,,형압명함,,316x467
디지털인쇄,,투명명함,003-0005,315x467
디지털인쇄,,화이트인쇄명함,003-0006,316x467
디지털인쇄,상품권,스탠다드 쿠폰/상품권,003-0013,316x467 | 316x467
디지털인쇄,,프리미엄 쿠폰/상품권,003-0014,316x467 | 316x467
디지털인쇄,배경지,인쇄배경지(OPP봉투타입),012-0001,316x467 | 316x467 | 316x467 | 316x467 | 316x467 | 316x467
디지털인쇄,,인쇄배경지(투명케이스타입),012-0002,316x467
디지털인쇄,,인쇄헤더택,012-0003,316x467
디지털인쇄,,라벨/택,012-0010,316x467 | 316x467 | 316x467
디지털인쇄,인쇄홍보물,소량전단지,003-0010,316x467 | 316x467 | 316x467 | 316x467
디지털인쇄,,접지리플렛,003-0011,316x467 | 316x467 | 316x467 | 316x467 | 316x467 | 316x467 | 316x467 | 316x467
디지털인쇄,,와이드 접지리플렛,003-0012,330x660 | 330x660 | 330x660
디지털인쇄,,봉투제작,003-0015,
디지털인쇄,,썬캡,003-0016,
스티커,,반칼 자유형 스티커,002-0001,330x470
스티커,,반칼 자유형 투명스티커,002-0002,330x470
스티커,,반칼 자유형 홀로그램스티커,002-0015,330x470
스티커,,낱장 자유형 스티커,002-0003,210 x 297 | 297 x 420 | 420 x 594
스티커,,낱장 자유형 투명스티커,002-0004,210 x 297 | 297 x 420 | 420 x 594
스티커,,대형 자유형 스티커,002-0005,400 x 600
스티커,,반칼원형스티커,002-0008,330x470 | 330x470
스티커,,반칼정사각스티커,002-0009,330x470 | 330x470
스티커,,반칼직사각스티커,002-0010,330x470 | 330x470
스티커,,반칼띠지스티커,002-0011,330x470 | 330x470
스티커,,반칼팬시스티커,002-0012,330x470
스티커,,반칼팬시투명스티커,,330x470
스티커,,소량자유형스티커,002-0006,330x470
스티커,,스티커팩,002-0016,330x470
스티커,,합판도무송스티커,002-0013,
스티커,,타투스티커,002-0014,210x297
책자,책자,중철책자,006-0001,
책자,,무선책자,006-0002,
책자,,PUR책자,006-0003,
책자,,트윈링책자,006-0004,
책자,하드커버책자,하드커버책자,006-0005,
책자,,레더 하드커버책자,006-0006,
책자,,하드커버 링책자,006-0007,
책자,,링바인더 (보류중),,
책자,,레더 링바인더,,
책자,엽서북,엽서북,,
책자,떡메모지,떡메모지,008-0008,
책자,레드프린팅 책자 가이드,https://www.redprinting.co.kr/ko/guide2/view/4/116,,
포토북(가격포함),포토북,포토북 [디자인명],,
캘린더,탁상형캘린더,탁상형캘린더,007-0001,316x467 | 316x467
캘린더,,미니탁상형캘린더,007-0002,316x467 | 316x467
캘린더,엽서캘린더,엽서캘린더,007-0003,316x467 | 316x467 | 316x467 | 316x467 | 316x467 | 316x467
캘린더,벽걸이캘린더,벽걸이캘린더,007-0004,316x467 | 316x467 | 316x467
캘린더,,와이드벽걸이캘린더,007-0005,330x660
디자인캘린더(가격포함),탁상형캘린더,탁상형캘린더,007-0001,316x467 | 316x467
디자인캘린더(가격포함),,미니탁상형캘린더,007-0002,316x467 | 316x467
디자인캘린더(가격포함),엽서캘린더,엽서캘린더,007-0003,316x467
디자인캘린더(가격포함),벽걸이캘린더,벽걸이캘린더,007-0004,316x467
디자인캘린더(가격포함),,와이드벽걸이캘린더,007-0005,330x660
실사,,아트프린트포스터,004-0001,
실사,,아트페이퍼포스터,004-0002,
실사,,방수포스터,004-0003,
실사,,투명포스터★,,
실사,,접착방수포스터,004-0004,
실사,,접착투명포스터,004-0005,
실사,,아트패브릭포스터,004-0006,
실사,,린넨패브릭포스터,004-0007,*후가공에따라 파일크기가 다름
실사,,캔버스패브릭포스터,004-0008,
실사,,레더아트프린트,004-0009,
실사,,타이벡프린트,004-0010,
실사,,메쉬프린트,004-0011,
실사,,폼보드,004-0012,
실사,,포맥스보드,004-0013,
실사,,프레임리스우드액자,004-0014,
실사,,레더아트액자,004-0015,
실사,,캔버스 행잉포스터,004-0017,
실사,,린넨 우드봉 족자,004-0018,
실사,,족자포스터,004-0016,
실사,,PET배너,005-0001,
실사,,메쉬배너,005-0002,
실사,,일반현수막,005-0003,
실사,,메쉬현수막,005-0004,
실사,,무광시트커팅,005-0005,
실사,,홀로그램 시트커팅,005-0006,
실사,,유광아크릴스티커,005-0007,
실사,,미러아크릴스티커,005-0008,
실사,,미니보드스탠딩,005-0009,
실사,,미니배너,005-0010,
아크릴,단품형,아크릴키링,009-0001,
아크릴,,아크릴마그넷,009-0002,
아크릴,,아크릴뱃지,009-0003,
아크릴,,아크릴집게,009-0004,
아크릴,,아크릴스마트톡,009-0005,
아크릴,,맥세이프 스마트톡,009-0006,
아크릴,,아크릴명찰,009-0007,
아크릴,,아크릴명찰(골드실버),,
아크릴,,아크릴 머리끈,009-0011,
아크릴,,아크릴볼펜,009-0008,
아크릴,,아크릴지비츠,,
아크릴,,아크릴네임택,009-0020,
아크릴,,아크릴 포카키링,009-0010,
아크릴,,아크릴 코스터,,
아크릴,조합형,아크릴자유형스탠드,009-0012,
아크릴,,판아크릴,009-0013,
아크릴,,아크릴포카스탠드,009-0014,
아크릴,,아크릴미니파츠,009-0015,
아크릴,,아크릴코롯토,,
아크릴,,포카코롯토,,
아크릴,,아크릴카라비너,,
아크릴,,아크릴코롯토,,
아크릴,,아크릴입체코롯토,,
아크릴,,아크릴입체블럭,,
아크릴,,아크릴쉐이커★,,
아크릴,,지비츠★,,
문구(가격포함),플래너,만년다이어리(소프트커버),008-0020,
문구(가격포함),,만년다이어리(하드커버),008-0021,
문구(가격포함),,만년다이어리(레더하드커버),008-0022,
문구(가격포함),,만년다이어리(레더소프트커버),008-0023,
문구(가격포함),,먼슬리플래너,008-0002,
문구(가격포함),노트,스프링노트,008-0004,
문구(가격포함),,스프링수첩,008-0005,
문구(가격포함),,메모패드,008-0006,
문구(가격포함),,메모패드(내지커스텀) 준비중,,
문구(가격포함),,중철노트,008-0007,
문구(가격포함),,떡메모지,008-0008,
문구(가격포함),,"노랑색배경은 신규상품으로 MES에도 없어 등록해야하는 상품입니다
그레이배경의 상품은 품절이거나 준비중인 상품입니다.
그레이칼라의 글씨는 사용자에는 보여지지 않은(파일사양의 구분을 위한) 글씨입니다
*오렌지글씨는 저만의 commemt이니 개발시 무시해주세요
제목부분 (필수/빨강)는 모든 상품에 반드시 설정해야하는 부분 (옵션/오렌지)은 상품에 따라 있을수도 없을 수도 있습니다
모든 항목은 Figma를 참고해주세요",,
굿즈파우치(가격포함),소품,틴거울,,
굿즈파우치(가격포함),,컴팩트거울,,
굿즈파우치(가격포함),,카드거울,,
굿즈파우치(가격포함),,사각손거울,,
굿즈파우치(가격포함),,블랙사각손거울,,
굿즈파우치(가격포함),라이프,레더코스터,,
굿즈파우치(가격포함),,코르크코스터,,
굿즈파우치(가격포함),,우드코스터,,
굿즈파우치(가격포함),,린넨패브릭코스터,,
굿즈파우치(가격포함),,규조토코스터,,
굿즈파우치(가격포함),,머그컵,,
굿즈파우치(가격포함),,워터북보틀,,
굿즈파우치(가격포함),,벨벳쿠션,,
굿즈파우치(가격포함),여행/아웃도어,레더여권케이스,,
굿즈파우치(가격포함),,미니매트,,
굿즈파우치(가격포함),,피크닉매트,,
굿즈파우치(가격포함),,투명부채,,
굿즈파우치(가격포함),기념품/액세서리,핀버튼,,
굿즈파우치(가격포함),,레더스트랩키링,,
굿즈파우치(가격포함),,키캡키링,,
굿즈파우치(가격포함),,LED투명키캡키링,,
굿즈파우치(가격포함),,미니CD앨범,,
굿즈파우치(가격포함),패션,양말,,
굿즈파우치(가격포함),,반팔티셔츠,,
굿즈파우치(가격포함),,극세사타월,,
굿즈파우치(가격포함),,슬로건,,
굿즈파우치(가격포함),,후드티셔츠,,
굿즈파우치(가격포함),데스크/사무용품,초슬림마우스패드,,
굿즈파우치(가격포함),,장패드,,
굿즈파우치(가격포함),,극세사클리너,,
굿즈파우치(가격포함),,틴케이스,,
굿즈파우치(가격포함),,자석북마크,,
굿즈파우치(가격포함),,클립보드,,
굿즈파우치(가격포함),,투명클립보드,,
굿즈파우치(가격포함),,만년스탬프,,
굿즈파우치(가격포함),,타이벡북커버,,
굿즈파우치(가격포함),디지털악세서리,밴드톡,,
굿즈파우치(가격포함),,폰스트랩,,
굿즈파우치(가격포함),말랑(PVC고주파),말랑키링,,
굿즈파우치(가격포함),,말랑증사홀더,,
굿즈파우치(가격포함),,말랑포카홀더,,
굿즈파우치(가격포함),,말랑네임택,,
굿즈파우치(가격포함),,말랑여권케이스,,
굿즈파우치(가격포함),,아크릴쉐이커코롯토,,
굿즈파우치(가격포함),,미니우치와키링,,
굿즈파우치(가격포함),,하트 이미지피켓,,
굿즈파우치(가격포함),,이미지피켓,,
굿즈파우치(가격포함),레더파우치,레더 플랫 파우치,,
굿즈파우치(가격포함),,레더 슬림 파우치,,
굿즈파우치(가격포함),,레더 삼각 파우치,,
굿즈파우치(가격포함),,레더 볼륨 파우치,,
굿즈파우치(가격포함),,레더 스트링 파우치,,
굿즈파우치(가격포함),,레더 스트링 원형파우치,,
굿즈파우치(가격포함),,레더 플랫 클러치,,
굿즈파우치(가격포함),,레더 삼각 클러치,,
굿즈파우치(가격포함),,레더 아이패드/노트북 파우치,,
굿즈파우치(가격포함),패브릭파우치,캔버스 플랫 파우치,,
굿즈파우치(가격포함),,캔버스 삼각 파우치,,
굿즈파우치(가격포함),,캔버스 스트랩 라벨파우치,,
굿즈파우치(가격포함),,광목 스트링 라벨파우치,,
굿즈파우치(가격포함),,린넨 스트링 파우치,,
굿즈파우치(가격포함),타이벡파우치,타이벡 플랫 파우치,,
굿즈파우치(가격포함),,타이벡 슬림 파우치,,
굿즈파우치(가격포함),,타이벡 삼각 파우치,,
굿즈파우치(가격포함),,타이벡 스트링 파우치,,
굿즈파우치(가격포함),,타이벡 플랫 클러치,,
굿즈파우치(가격포함),메쉬파우치,메쉬슬림파우치,,
굿즈파우치(가격포함),,메쉬볼륨파우치,,
굿즈파우치(가격포함),미니파우치,레더 플랫 미니파우치,,
굿즈파우치(가격포함),,레더 슬림 미니파우치,,
굿즈파우치(가격포함),,레더 삼각 미니파우치,,
굿즈파우치(가격포함),,레더 볼륨 미니파우치,,
굿즈파우치(가격포함),,레더 원형 미니파우치,,
굿즈파우치(가격포함),필통,레더 플랫 필통,,
굿즈파우치(가격포함),,레더 슬림 필통,,
굿즈파우치(가격포함),,레더 삼각 필통,,
굿즈파우치(가격포함),,레더 볼륨 필통,,
굿즈파우치(가격포함),,레더 원형 필통,,
굿즈파우치(가격포함),,캔버스 플랫 필통,,
굿즈파우치(가격포함),,캔버스 삼각 필통,,
굿즈파우치(가격포함),레더에코백,레더토트백,,
굿즈파우치(가격포함),,레더숄더백,,
굿즈파우치(가격포함),패브릭에코백,린넨 미니에코백,,
굿즈파우치(가격포함),,린넨 토트백,,
굿즈파우치(가격포함),,린넨 에코백,,
굿즈파우치(가격포함),,캔버스심플백,,
굿즈파우치(가격포함),,캔버스 포켓심플백,,
굿즈파우치(가격포함),,캔버스에코백,,
굿즈파우치(가격포함),,캔버스숄더백,,
굿즈파우치(가격포함),,캔버스 포켓숄더백,,
굿즈파우치(가격포함),타이벡에코백,타이벡 양면 백팩,,
굿즈파우치(가격포함),,타이벡보냉보틀백,,
굿즈파우치(가격포함),,타이벡 보냉 미니백,,
굿즈파우치(가격포함),,타이벡 에코백,,
굿즈파우치(가격포함),,타이벡 보냉에코백,,
굿즈파우치(가격포함),메쉬에코백,메쉬 토트백,,
굿즈파우치(가격포함),,메쉬 에코백,,
굿즈파우치(가격포함),에코백부자재,레더라벨제작,,
굿즈파우치(가격포함),폰케이스,슬림하드 폰케이스,,
굿즈파우치(가격포함),,블랙젤리,,
굿즈파우치(가격포함),,임팩트 젤하드,,
굿즈파우치(가격포함),,에어팟케이스★,,
굿즈파우치(가격포함),,버즈케이스★,,
상품악세사리(가격포함),봉투/케이스,OPP접착봉투,012-0004,
상품악세사리(가격포함),,OPP비접착봉투,,
상품악세사리(가격포함),,트래싱지 카드봉투,012-0009,
상품악세사리(가격포함),,카드봉투,012-0007,
상품악세사리(가격포함),,캘린더봉투,012-0008,
상품악세사리(가격포함),,볼체인,012-0015,
상품악세사리(가격포함),,와이어링,012-0016,
상품악세사리(가격포함),,천정고리,,
상품악세사리(가격포함),,투명케이스,012-0006,
상품악세사리(가격포함),,행택끈,012-0018,
상품악세사리(가격포함),,자석고정용고무판,012-0011,
상품악세사리(가격포함),상품액세서리,우드거치대,012-0012,
상품악세사리(가격포함),,우드봉,,
상품악세사리(가격포함),,우드행거,012-0013,
상품악세사리(가격포함),,만년스탬프 리필잉크,,
