axis,kind,row_id,title,kdh_part,status,t56_verdict,t56_judged_by,why,evidence
1.탐색·상세+위젯임베드,원장,STD-CAT-002,카테고리별 상품 리스팅(정렬·페이징),김동학,부분,담당맞음,merged-owner_side,,huni-skin-shopby/src/lib/api/server/catalog.ts:5 · src/components/shop/shop-list.tsx:18-24
1.탐색·상세+위젯임베드,원장,STD-CAT-003,상품군 전용 랜딩(출력/책자/실사/패키지/굿즈),김동학,미착수,담당맞음,merged-owner_side,,F-088/SCOPE-088/IA-088 랜딩페이지 5종(종이·제본·캘린더·파우치·스티커) 미착수
1.탐색·상세+위젯임베드,원장,STD-CAT-005,종이/소재명 기준 검색(아트지·스노우지 등),김동학,미착수,담당맞음,merged-owner_side,,SCOPE-154 상품 검색·필터 엔진 PARTIAL
1.탐색·상세+위젯임베드,원장,STD-CAT-006,검색어 자동완성·인기검색어,김동학,부분,담당맞음,merged-owner_side,,huni-skin-shopby/src/app/(main)/search/page.tsx:1 · 인기검색어 src/lib/api/hooks/use-search.ts:13
1.탐색·상세+위젯임베드,원장,STD-CAT-007,상품 상세페이지 본문(이미지·설명 블록),김동학+최숙진,부분,분할,merged-owner_side,,huni-skin-shopby/src/app/(main)/product/[slug]/page.tsx:42-47 · :51-56 · src/components/product/product-sections.tsx:1
1.탐색·상세+위젯임베드,원장,STD-CAT-008,동일 계열 상품 분기 안내(일반명함/고급지명함/부분UV명함 등),김동학,미착수,담당맞음,merged-owner_side,,print-story/02_capture/order-flow-steps.md §A-0 레드프린팅 상품 분할 전략
1.탐색·상세+위젯임베드,원장,STD-CAT-009,후가공 용어 설명 툴팁(도무송·오시·형압·귀돌이),김동학+최숙진,미착수,분할,merged-owner_side,,print-story/02_capture/order-flow-steps.md §E-4 3사 용어 불일치
1.탐색·상세+위젯임베드,원장,STD-CAT-011,상품별 제작 소요일/출고 기준 안내,김동학+서희항,미착수,분할,merged-owner_side,,print-story/02_capture/order-flow-steps.md §C-6 출고 옵션
1.탐색·상세+위젯임베드,원장,STD-CAT-012,재작업 불가 사항 고지(폰트 아웃라인 등),김동학+최숙진,부분,분할,merged-owner_side,,"huni-skin-shopby/src/lib/guide-data.ts:41-50,158-202 (대부분 '준비중' 스텁)"
1.탐색·상세+위젯임베드,원장,STD-CAT-013,상품 Q&A 게시,김동학,미착수,담당맞음,merged-owner_side,,huni-skin-shopby/src/app/(main) 하위 inquiry/qna 라우트 부재 (SB-056 absent)
1.탐색·상세+위젯임베드,원장,STD-CAT-015,사진 리뷰 갤러리,김동학,부분,담당맞음,merged-owner_side,,huni-skin-shopby/src/lib/api/hooks/use-product-reviews.ts:41 (목록만)
1.탐색·상세+위젯임베드,원장,STD-CAT-016,관련상품/함께 주문한 상품 추천,김동학,미착수,담당맞음,merged-owner_side,,print-quote/04_design/ia.md §2.1 리스팅 파생
1.탐색·상세+위젯임베드,원장,STD-CAT-017,최근 본 상품,김동학,미착수,담당맞음,merged-owner_side,,print-quote/04_design/ia.md §2.1 GNB 파생
