std_id,대분류,중분류,기능,상태,매핑legacy_id,매핑asis_id,돈여부,주문여부,근거,비고,담당,done_criteria
STD-CAT-001,상품·카탈로그,카테고리,대분류/중분류/소분류 다단 카테고리 트리 노출,new,,SB-004;SB-003,N,N,huni-skin-shopby/src/lib/api/server/catalog.ts:1-20 (MULTI_LEVEL 트리 조회 done),R1 · L4 판정 승계,,
STD-CAT-002,상품·카탈로그,카테고리,카테고리별 상품 리스팅(정렬·페이징),new,,SB-005;SB-006,N,N,huni-skin-shopby/src/lib/api/server/catalog.ts:5 · src/components/shop/shop-list.tsx:18-24,R1 · L4 판정 승계,,
STD-CAT-003,상품·카탈로그,카테고리,상품군 전용 랜딩(출력/책자/실사/패키지/굿즈),todo,F-088;IA-088;SCOPE-088,,N,N,F-088/SCOPE-088/IA-088 랜딩페이지 5종(종이·제본·캘린더·파우치·스티커) 미착수,R1 · L4 판정 승계,,
STD-CAT-004,상품·카탈로그,검색,상품명 통합검색,partial,F-154;SCOPE-154,SB-008;SB-005,N,N,huni-skin-shopby/src/app/(main)/search/page.tsx:1 (검색 페이지 존재) · 인기검색어 src/lib/api/hooks/use-search.ts:13,R1 · L4 판정 승계,,
STD-CAT-005,상품·카탈로그,검색,종이/소재명 기준 검색(아트지·스노우지 등),todo,F-154;SCOPE-154,,N,N,SCOPE-154 상품 검색·필터 엔진 PARTIAL,R1 · L4 판정 승계,,
STD-CAT-006,상품·카탈로그,검색,검색어 자동완성·인기검색어,partial,F-154;SCOPE-154,SB-008,N,N,huni-skin-shopby/src/app/(main)/search/page.tsx:1 · 인기검색어 src/lib/api/hooks/use-search.ts:13,R1 · L4 판정 승계,,
STD-CAT-007,상품·카탈로그,상품상세,상품 상세페이지 본문(이미지·설명 블록),done,IA-066;SCOPE-066,SB-007;SB-016;SB-017,N,N,huni-skin-shopby/src/app/(main)/product/[slug]/page.tsx:42-47 · :51-56 · src/components/product/product-sections.tsx:1,R1 · L4 판정 승계,,
STD-CAT-008,상품·카탈로그,상품상세,동일 계열 상품 분기 안내(일반명함/고급지명함/부분UV명함 등),new,,,N,N,print-story/02_capture/order-flow-steps.md §A-0 레드프린팅 상품 분할 전략,R1 · L4 판정 승계,,
STD-CAT-009,상품·카탈로그,상품상세,후가공 용어 설명 툴팁(도무송·오시·형압·귀돌이),new,,,N,N,print-story/02_capture/order-flow-steps.md §E-4 3사 용어 불일치,R1 · L4 판정 승계,,
STD-CAT-010,상품·카탈로그,상품상세,재단사이즈 vs 작업사이즈 설명 가이드,todo,IA-060;SCOPE-060,,N,N,SCOPE-060/IA-060 E4 작업/재단/블리드 사이즈 안내 PARTIAL·미착수,R1 · L4 판정 승계,,
STD-CAT-011,상품·카탈로그,상품상세,상품별 제작 소요일/출고 기준 안내,new,,,N,N,print-story/02_capture/order-flow-steps.md §C-6 출고 옵션,R1 · L4 판정 승계,,
STD-CAT-012,상품·카탈로그,상품상세,재작업 불가 사항 고지(폰트 아웃라인 등),partial,F-087;IA-087;SCOPE-087,SB-055,N,N,"huni-skin-shopby/src/lib/guide-data.ts:41-50,158-202 (대부분 '준비중' 스텁)",R1 · L4 판정 승계,,
STD-CAT-013,상품·카탈로그,상품상세,상품 Q&A 게시,todo,IA-069;SCOPE-069,SB-056,N,N,huni-skin-shopby/src/app/(main) 하위 inquiry/qna 라우트 부재 (SB-056 absent),R1 · L4 판정 승계,,
STD-CAT-014,상품·카탈로그,상품상세,상품 리뷰 목록·평점 노출,done,F-089;IA-089;SCOPE-089,SB-018,N,N,huni-skin-shopby/src/lib/api/hooks/use-product-reviews.ts:41,R1 · L4 판정 승계,,
STD-CAT-015,상품·카탈로그,상품상세,사진 리뷰 갤러리,partial,F-018;F-089;IA-018;IA-089;SCOPE-018;SCOPE-089,SB-018,Y,N,huni-skin-shopby/src/lib/api/hooks/use-product-reviews.ts:41 (목록만),R1 · L4 판정 승계,,
STD-CAT-016,상품·카탈로그,상품상세,관련상품/함께 주문한 상품 추천,new,,,N,N,print-quote/04_design/ia.md §2.1 리스팅 파생,R1 · L4 판정 승계,,
STD-CAT-017,상품·카탈로그,상품상세,최근 본 상품,new,,,N,N,print-quote/04_design/ia.md §2.1 GNB 파생,R1 · L4 판정 승계,,
STD-CAT-018,상품·카탈로그,상품상세,찜/관심상품,new,,,N,N,print-kb/wiki/policy/mypage.md 파생,R1 · L4 판정 승계,,
STD-CAT-019,정보·콘텐츠,콘텐츠,인쇄 가이드 콘텐츠(11종),partial,F-087;IA-087;SCOPE-087,SB-055,N,N,"huni-skin-shopby/src/lib/guide-data.ts:41-50,158-202",R1 · L4 판정 승계 · lead 결정 4 · 대분류 이관(상품·카탈로그 → 정보·콘텐츠),,
STD-CAT-020,정보·콘텐츠,콘텐츠,템플릿/샘플 다운로드 제공,partial,IA-056;SCOPE-056,WA-042;WA-049,N,N,"raw/webadmin/webadmin/config/urls.py:280,283,285,287,288 (가이드파일 조회) · :72-87 (업로드/관리)",R1 · L4 판정 승계 · lead 결정 4 · 대분류 이관(상품·카탈로그 → 정보·콘텐츠),,
STD-CAT-021,상품·카탈로그,콘텐츠,메인 기획전/배너 영역,partial,SCOPE-155,SB-001;SB-002,N,N,huni-skin-shopby/src/app/(main)/page.tsx:1 · BEST 큐레이션 stub src/lib/legacy-data/hooks.ts:60,R1 · L4 판정 승계,,
STD-CAT-022,상품·카탈로그,전시,품절/판매중지 상품 표시 및 대체 안내,new,,,N,N,huni-shopby/01_research/order-to-delivery-contract.md §4.2 OUT_OF_STOCK,R1 · L4 판정 승계,,
STD-OPT-001,옵션·견적,옵션위젯,상품 상세 내 주문옵션 위젯 마운트(격리 렌더),done,F-033;IA-033;SCOPE-033,SB-010;WA-026,N,N,"huni-skin-shopby/src/components/product/huni-widget.tsx:312-313 · raw/webadmin/webadmin/config/urls.py:184,190,192",R1 · L4 판정 승계,,
STD-OPT-002,옵션·견적,옵션위젯,정규화 옵션 데이터 계약 기반 위젯 구동,done,F-033;IA-033;SCOPE-033,WA-033;WA-034,N,N,raw/webadmin/webadmin/config/urls.py:246 (위젯 정의 조회) · :247 (카탈로그 조회),R1 · L4 판정 승계,,
STD-OPT-003,옵션·견적,옵션위젯,옵션 컴포넌트 타입 다형 렌더(셀렉트·라디오·체크·수치입력·이미지선택),done,F-033;IA-033;SCOPE-033,WA-026;SB-010,N,N,"raw/webadmin/webadmin/config/urls.py:184,190,192 · src/lib/printly/widget.ts:60-90",R1 · L4 판정 승계,,
STD-OPT-004,옵션·견적,옵션위젯,옵션 선택 캐스케이드(상위 선택이 하위 목록 갱신),partial,F-048;IA-048;SCOPE-048,WA-036;WA-005,N,N,raw/webadmin/webadmin/config/urls.py:249 (validate) · :368 (dim-choices),R1 · L4 판정 승계,,
STD-OPT-005,옵션·견적,옵션위젯,토글형 후가공 섹션(켜야 하위 선택지 노출),new,,,N,N,print-story/02_capture/order-flow-steps.md §A-7 토글형 후가공,R1 · L4 판정 승계,,
STD-OPT-006,옵션·견적,옵션위젯,옵션 그룹 접기/펼치기·진행 스텝 표시,new,,,N,N,print-story/02_capture/order-flow-steps.md §C 옵션 테이블 복잡도,R1 · L4 판정 승계,,
STD-OPT-007,옵션·견적,옵션위젯,선택 요약 패널(현재 사양 한눈에),partial,F-063;IA-063;SCOPE-063,SB-011;SB-010,Y,Y,huni-skin-shopby/src/components/product/huni-widget.tsx:162-176 (huni:priced 수신),R1 · L4 판정 승계,,
STD-OPT-008,옵션·견적,옵션축,용지(자재) 선택,done,F-037;IA-037;P-MAT-PRICEGAP-01;P-MATPOLLUTE-26-01;SCOPE-037,WA-014;WA-034,Y,N,"raw/webadmin/webadmin/config/urls.py:304,307,310,313 (용지 관리+단가) · :247 (카탈로그 조회)",R1 · L4 판정 승계,,
STD-OPT-009,옵션·견적,옵션축,평량(g/㎡) 선택,done,F-037;IA-037;SCOPE-037,WA-014,N,N,"raw/webadmin/webadmin/config/urls.py:304,307,310,313 · catalog/paper_views.py:1",R1 · L4 판정 승계,,
STD-OPT-010,옵션·견적,옵션축,비종이 소재 선택(아크릴·PVC·패브릭 등),done,F-037;IA-037;P-GOODS-AXIS-NORM-01;SCOPE-037,WA-013;WA-034,Y,N,"raw/webadmin/webadmin/config/urls.py:344,346 (엔티티 공통 마스터) · :247",R1 · L4 판정 승계,,
STD-OPT-011,옵션·견적,옵션축,인쇄도수 선택(단면/양면·4도/8도·1도),done,F-038;IA-038;P-DIGITAL-BW-01;SCOPE-038,WA-005;WA-034,Y,Y,raw/webadmin/webadmin/config/urls.py:368 (dim-choices) · :247,R1 · L4 판정 승계,,
STD-OPT-012,옵션·견적,옵션축,별색(spot color) 선택,done,F-038;IA-038;SCOPE-038,WA-005;WA-015,N,N,raw/webadmin/webadmin/config/urls.py:368 · :316 (색상칩 스테이징),R1 · L4 판정 승계,,
STD-OPT-013,옵션·견적,옵션축,화이트/UV white 언더베이스 선택,done,F-038;IA-038;SCOPE-038,WA-005,N,N,raw/webadmin/webadmin/config/urls.py:368,R1 · L4 판정 승계,,
STD-OPT-014,옵션·견적,옵션축,규격 사이즈 선택(프리셋),done,F-034;IA-034;P-DELYN-SIZE-01;P-SIZEMAP-214-01;SCOPE-034,WA-005;WA-034,Y,Y,raw/webadmin/webadmin/config/urls.py:368 · :247,R1 · L4 판정 승계,,
STD-OPT-015,옵션·견적,옵션축,비규격 사이즈 직접입력(재단 가로·세로),partial,F-035;IA-035;P-AREA-CUSTOM-01;SCOPE-035,WA-005,Y,Y,raw/webadmin/webadmin/config/urls.py:368 (dim-choices),R1 · L4 판정 승계,,
