no,영역,기능,phase,판정,shopby근거,개발위치,개발방안요약,규모,선행조건,확인필요
1,로그인,일반 로그인,1차,SOLVED,auth OAuth2 token(post/put/delete-oauth2-token),Aurora 스킨,Shop-By-Authorization Bearer 표준 인증 그대로 사용,S,,
2,로그인,아이디 찾기(이메일),1차,SOLVED,member-shop post-profile-find-id,Aurora 스킨,표준 API 호출,S,,
3,로그인,비밀번호 찾기(휴대폰 임시PW),2차,PARTIAL,member-shop find-password+put-profile-password(이메일URL은 표준·휴대폰 임시PW는 SMS),BFF+외부연동,find-password 표준 위에 SMS 게이트웨이로 임시PW 발송 경로 추가,M,알림톡/SMS 서비스 계약,휴대폰 임시PW 발송 방식 Shopby 표준 vs 커스텀
4,회원가입,약관동의,1차,SOLVED,회원가입 표준+reserve agreementTermsAgrees,Aurora 스킨,Shopby 약관 도메인 설정,S,,
5,회원가입,정보입력,1차,PARTIAL,member-shop post-profile(개인 표준)·사업자/다중주소는 확장,Aurora 스킨+BFF,표준 프로필+후니 사업자정보·회사주소2를 customField/별도 저장으로 확장,M,,사업자정보 Shopby customField 수용 범위
6,회원가입,이메일 중복확인,1차,SOLVED,member-shop get-profile-email-exist,Aurora 스킨,표준 API,S,,
7,회원가입,휴대전화 인증,2차,PARTIAL,auth SendAuthenticationNumber/get-authentications(표준)·SMS 게이트 계약,외부연동,본인인증/SMS 서비스 연동 후 표준 인증 API 결선,M,휴대폰 인증·문자 서비스 계약,
8,회원가입,가입완료 메일,1차,SOLVED,Shopby 알림 템플릿(native),설정,가입 알림 메일 템플릿 설정,S,,native 가입메일 템플릿 활성 확인
9,마이페이지,주문조회,1차,SOLVED,order get-profile-orders/get-previous-orders,Aurora 스킨,표준 주문조회,M,,
10,마이페이지,주문상세조회(편집상품 미리보기),1차,CUSTOM,주문상세 표준+편집상품 미리보기 미제공(feature-matrix:32 파일/인쇄 CUSTOM),Aurora 스킨+BFF,주문상세 native 위에 인쇄원고 썸네일·편집결과 미리보기를 후니DB/Edicus에서 BFF로 결선,L,,Edicus 산출물 보관·재현 경로
11,마이페이지,옵션보관함(저장된 인쇄옵션),2차,CUSTOM,미제공(인쇄 CPQ selections 저장소 부재),BFF+위젯,후니DB에 회원별 selections 스냅샷 저장·복원 API(위젯 재적용),M,,
12,마이페이지,쿠폰관리,2차,SOLVED,promotion get-my-coupons/get-my-coupon-summary,Aurora 스킨,표준 쿠폰조회,S,,
13,마이페이지,쿠폰등록,2차,SOLVED,promotion post-register-code-download,Aurora 스킨,표준 쿠폰코드 등록,S,,
