구분,구필드(관찰/추정),shopby대상,변환규칙,손실/제약,원천확인필요
회원-식별,user_id(아이디·login.asp/modify.asp),member.memberId(loginId),구 아이디 그대로 memberId로 이행(소문자/허용문자 규칙 검증),Shopby loginId 문자/길이 규칙 위반 아이디는 정규화 필요(충돌·반려),loginId 허용규칙 위반 건수·중복 아이디 유무
회원-식별,user_email(이메일),member.email,구 이메일 그대로,Shopby는 email 형식검증·중복 1계정 가정→중복 이메일 충돌 가능,이메일 NULL/중복/형식오류 건수
회원-인증,user_pwd(비밀번호·단방향 해시),member.password,★평문 이행 불가(해시 알고리즘 상이)→비번 이행 안 함·전환전략으로 대체,전 회원 재인증 필요(최초 로그인 재설정 or 임시PW 발송),구 해시 알고리즘(ASP MD5/SHA1/salt 유무)
회원-기본,회원명(○○○ 고객님),member.memberName,그대로,,실명/표시명 구분 여부
회원-기본,user_hp1/2/3(휴대폰 3분할),member.mobileNo(+mobileCountryCode=82),3분할 concat→하이픈 정규화·국가코드 82 기본,Shopby 본인인증(certificated) 미이행 시 일부 기능 제한 가능,인증완료(certificated) 상태 이관 가능 여부
회원-기본,user_tel1/2/3(일반전화),member.telephoneNo,3분할 concat,,
회원-기본,check_sms(SMS 수신 라디오),member.smsAgreed(+smsAgreeYmdt),Y/N→boolean·동의일시 별도,동의일시(smsAgreeYmdt) 화면 미관측→원천 없으면 이관일로 기록(법적 근거 약화),SMS 동의 원본 일시(smsAgreeYmdt)
회원-기본,check_email(뉴스레터/마케팅 이메일 수신),member.directMailAgreed(+directMailAgreeYmdt),Y/N→boolean,마케팅 수신동의는 재동의 권고 영역(이관만으로 법적 유효성 보장 못함),마케팅 이메일 동의 원본 일시·동의 채널
회원-주소,user_zip(우편번호),member.zipCd,그대로,구 5/6자리 우편번호 체계 차이 가능,우편번호 자릿수 체계(구 6자리 여부)
회원-주소,user_addr1(도로명/기본주소),member.address,그대로(도로명 기본주소),,
회원-주소,user_addr2(상세주소),member.address 상세/jibunDetailAddress,상세주소 매핑,Shopby 주소 필드 분할(도로명/지번) 구조와 구 분할 불일치 가능,
회원-주소,jibun_addr(지번주소),member.jibunAddress,그대로,,
회원-주소,user_zone(hidden·도로명코드 추정),member 주소 부가코드(roadAddressCode 추정),매핑 대상 확인 후 결정,용도 미상→원천 확인 전 이관 보류,user_zone 의미(도로명관리번호/행정코드)
회원-사업자,user_company(상호/회사명),member.businessName,그대로(native),,
회원-사업자,user_number1/2/3(사업자등록번호),member.businessRegistrationNumber,3분할 concat(10자리),Shopby 사업자번호 유효성 검증 시 무효번호 반려 가능,
회원-사업자,user_owner(대표자명),member.extraInfo[대표자명],extraInfo 추가항목(TEXTBOX) 사전정의 후 적재,native 미보유→extraInfo 또는 BFF 저장(검색·증빙 연계 제약),extraInfo 항목 사전 등록 가능 여부
회원-사업자,user_uptae(업태),member.extraInfo[업태],extraInfo 추가항목,native 미보유→extraInfo/BFF,
회원-사업자,user_upjong(업종),member.extraInfo[업종],extraInfo 추가항목,native 미보유→extraInfo/BFF,
회원-사업자,user_job(직업·select),member.extraInfo[직업],select 코드값→라벨 매핑 후 extraInfo,구 select 코드체계 화면 미수집,user_job 코드↔라벨 매핑표
회원-주소2,user_c1zip/c1zone/c1addr1/c1addr2(회사주소1),member 배송지주소록(shipping-addresses) 1건,회사주소를 배송지 주소록 항목으로 적재,프로필 단일주소 외 추가주소는 주소록/extraInfo로만 보존,회사주소=청구지인지 배송지인지 용도
회원-주소2,user_c2zip/c2zone/c2addr1/c2addr2(회사주소2/추가배송지),member 배송지주소록(shipping-addresses) 1건,추가배송지로 적재,동상,
회원-사업자,user_ctel1/2/3(회사전화),member.extraInfo[회사전화] 또는 BFF,concat 후 extraInfo,native 미보유,
회원-사업자,user_cfax1/2/3(팩스),member.extraInfo[팩스] 또는 BFF,concat 후 extraInfo,Shopby native 팩스 없음→extraInfo/BFF,
회원-등급,회원할인율(%)(대시보드),member.gradeNo(Shopby memberGrade),구 등급/할인율→Shopby 등급번호 매핑(0%=기본등급),할인율 자체가 아닌 등급 매핑→등급정책 선확정 필요(OQ-G6),구 등급체계(등급명/할인율 구간)·grade_cd 매핑표
회원-상태,가입일(추정·화면 미관측),member 가입일시(registerYmdt),원본 가입일 보존(가능 시 bulk/별도 기록),Shopby가 이관 시점으로 가입일 세팅 시 원본 유실→가입연차/혜택 왜곡,registerYmdt 보존 가능 여부·원본 가입일 원천
회원-상태,휴면상태(추정·법적),member.dormant(휴면),구 휴면여부→Shopby 휴면 전환,화면 미관측→원천 휴면플래그 확인 필요,1년 미접속 휴면 대상 회원 식별 원천
회원-상태,탈퇴상태/탈퇴사유(out.asp),member.expelled(탈퇴),탈퇴회원 이관 정책에 따라 제외 또는 탈퇴상태 이관,개인정보 보존기간 경과 탈퇴회원 이관은 법적 리스크,탈퇴회원 이관 범위·보존기간 정책
회원-기타,check_bunho(hidden)/temp_sms/sms_number,(이관 제외),인증 임시값→이관 대상 아님,,check_bunho 의미
머니-잔액,프린팅머니 잔액(money.asp 현재 사용가능 금액),accumulation 잔액(POST /profile/accumulations 1건),회원별 잔액=수동지급 1건으로 시드(externalKey=이관키·사유="구사이트 프린팅머니 이관"),Shopby 적립금=현금성 포인트(사용 동일)·단 충전식 적립 메커니즘 차이는 사용에 무영향,회원별 잔액 스냅샷(기준시각)·합계
머니-내역,적립/사용/만료 거래내역(원장·내역 비어 미관측),accumulation 내역(잔액 시드 1건 or 내역 재현),내역 보존=잔액만 이행(권고) vs 거래원장 1:1 재현(고비용),Shopby는 과거 거래일자/사유 임의 backdate 제약→원장 1:1 완전재현 어려움,거래원장 스키마(일시/금액/구분/사유/만료일)·보존 의무
머니-만료,만료정책(유효기간·소멸),accumulation 유효기간(1~71개월/제한없음),이관 잔액 grant에 유효기간 설정,구 잔액의 잔여 유효기간 원천 없으면 정책값 일괄 적용→소멸시점 변동,구 프린팅머니 만료규칙(있음/없음)·잔여유효기간
머니-충전,머니충전(PG 선불충전),(이관 범위 외·운영 BFF),이관이 아닌 향후 운영=PG결제→POST accumulations BFF,Shopby native 선불충전 부재→커스텀 BFF 필요(이관 스코프 아님),
쿠폰,보유 쿠폰+유효기간+사용조건(coupon.asp·참고),promotion 쿠폰(다운로드/발급),프린팅머니와 별개 자산→쿠폰 이관 별도 트랙,이관 스코프=회원/머니·쿠폰은 별도,쿠폰 보유내역 이관 여부(별도 결정)
