prd_cd,prd_nm,cluster,target_frm_cd,status,evidence,apply_bgn_ymd,confirm
PRD_000030,지그재그엽서,엽서,PRF_DGP_E,WIRE_BIND,"600x150 긴띠형. DGP_E=원자합산형(용지/인쇄/접지/코팅 parametric). n_optg=0 옵션레이어 미설정→접지/공정 선택 불가. 바인딩만으로 PRICE 보장 불가(옵션그룹+plate/material 커버 검증 선행)",,CONFIRM-030: 옵션그룹 설정+DGP_E 적합 검증 후 바인딩(§7/§18)
PRD_000034,펄명함,명함특수,(PRF_NAMECARD_PEARL 미존재),WIRE_BIND,"COMP_NAMECARD_PEARL_S1/S2 단가행 실재(mat MAT_127/130). 상품 mat MAT_128/129/240/241=PEARL행과 불일치(권위대조 필요). 공식 PRF_NAMECARD_PEARL 미정의→배선 필요",,CONFIRM-NC: PEARL 공식 신설+mat 매칭 권위대조(§18)
PRD_000035,모양명함,명함특수,(PRF_NAMECARD_SHAPE 미존재),WIRE_BIND,"COMP_NAMECARD_SHAPE_S1/S2 실재(use_dims=[siz_cd,min_qty]·mat무관). 공식 미정의→배선 필요. mat MAT_109",,CONFIRM-NC: SHAPE 공식 신설(§18)
PRD_000036,미니모양명함,명함특수,(PRF_NAMECARD_MINISHAPE 미존재),WIRE_BIND,"COMP_NAMECARD_MINISHAPE_S1/S2 실재. 공식 미정의→배선 필요. mat MAT_109",,CONFIRM-NC: MINISHAPE 공식 신설(§18)
PRD_000037,오리지널박명함,명함특수,(PRF_NAMECARD_FOIL 미존재),WIRE_BIND,"COMP_NAMECARD_FOIL_S1/S2_STD/HOLO(각9행)+SETUP(동판) 실재. 공식 미정의·박셋업 합산구조 설계 필요. mat MAT_137~141",,CONFIRM-NC: FOIL 공식+셋업 합산 설계(§18)
PRD_000039,투명명함,명함특수,(PRF_NAMECARD_CLEAR 미존재),WIRE_BIND,"COMP_NAMECARD_CLEAR_S1(use_dims=[min_qty]·1행) 실재. 공식 미정의→배선 필요. mat MAT_178",,CONFIRM-NC: CLEAR 공식 신설(§18)
PRD_000040,화이트인쇄명함,명함특수,(PRF_NAMECARD_WHITE 미존재),WIRE_BIND,"COMP_NAMECARD_WHITE_S1W/S2W_CL/NOCL(mat MAT_137) 실재. 공식 미정의→배선 필요. mat MAT_138~141",,CONFIRM-NC: WHITE 공식+코팅분기 설계(§18)
PRD_000072,하드커버책자,책자셋트,(PRF_HC_MUSEON_SUM 미존재),MINT,"표지/내지/면지 comp 0행·PRF 미존재·선행 W1/W2. price-mint-readiness.md BLOCKED. 돈크리티컬",,BLOCKED: §18 booklet+dbm-ddl/load 위임(이번 세션 제외)
PRD_000077,레더 하드커버책자,책자셋트,(PRF_HC_MUSEON_SUM 미존재),MINT,"072 동형. comp 0행·선행 W1/W2",,BLOCKED: §18 위임
PRD_000082,하드커버 링책자,책자셋트,(PRF_HC_TWINRING_SUM 미존재),MINT,"072+면지인쇄/코팅 2비목. comp 0행·선행 W1/W2",,BLOCKED: §18 위임
PRD_000088,레더 링바인더,책자셋트,(미존재),MINT,"권위 보류중. comp 0행·n_proc=0. price-mint-readiness 088=보류",,BLOCKED: 권위 확정+§18 위임
PRD_000100,포토북 [디자인명],책자셋트,(PRF_PHOTOBOOK_SUM 미존재),MINT,"base24/per2p comp 0행·단가표 미평면화(photobook-l1). PRF 미존재",,BLOCKED: §18 photobook+dbmap 추출 위임
PRD_000108,탁상형캘린더,캘린더,(DESIGN_BLOCKED),DESIGN_BLOCKED,"§18 정찰가 역산 비정수 의도적 보류. 단순 누락 아님",,DESIGN_BLOCKED: §18 캘린더 정찰가 정수화 선결
PRD_000109,미니탁상형캘린더,캘린더,(DESIGN_BLOCKED),DESIGN_BLOCKED,"§18 정찰가 역산 비정수 보류",,DESIGN_BLOCKED: §18
PRD_000110,엽서캘린더,캘린더,(DESIGN_BLOCKED),DESIGN_BLOCKED,"§18 정찰가 역산 비정수 보류",,DESIGN_BLOCKED: §18
