gap_uid,card,process_ref,process_name,L1_대분류,종류,종류설명,내용,제안담당,담당_근거,선행,관련_row_id,root_cause_id,root_cause,걸린낱말
GX-t62-001,t62,P01,회원가입(이메일 식별자),회원·인증,다,다 — 코드는 있는데 연결 안 됨,약관 동의값(`joinTermsAgreements`)·마케팅 수신동의(`smsAgreed`·`directMailAgreed`)를 폼이 수집하지만 가입 요청에 싣지 않는다 — 몰 약관 ID 매핑이 없다. 샵바이 `POST /profile` 스펙에는 세 필드가 모두 있다.,김동학,,운영자가 셀러어드민에서 약관 ID 확정,G-t62-001,RC-05,샵바이 Server API — 명세는 완비인데 호출 코드가 0,샵바이
GX-t62-002,t62,P01,회원가입(이메일 식별자),회원·인증,나,나 — 행은 있는데 코드 0,가입완료 혜택 자동지급(`STD-MEM-006`) 행은 있으나 코드·설정 지점을 찾지 못했다 — 샵바이 네이티브 혜택인지 별도 구현인지 미확정.,최숙진,,쿠폰 발행 설계(P19) 확정,G-t62-002,RC-05,샵바이 Server API — 명세는 완비인데 호출 코드가 0,샵바이
GX-t62-003,t62,P01,회원가입(이메일 식별자),회원·인증,라,라 — 결정 미정,로그인 식별자 정책(이메일 전용 vs 아이디)이 미확정 — 현재 코드는 `memberId = email` 로 고정돼 있다.,지니·신우진,,없음,G-t62-003,RC-18,회원·인증·권한 정책 미확정,로그인 식별자
GX-t62-004,t62,P02,소셜 로그인 가입·연결,회원·인증,나,나 — 행은 있는데 코드 0,`STD-MEM-023`(앱 등록·Redirect URI `{origin}/oauth/callback`)은 코드가 아니라 설정 작업 — 셀러어드민과 각 개발자센터에서 등록됐는지 확인하지 못했다.,최숙진,,몰 도메인(origin) 확정,G-t62-004,RC-05,샵바이 Server API — 명세는 완비인데 호출 코드가 0,셀러어드민
GX-t62-005,t62,P02,소셜 로그인 가입·연결,회원·인증,라,라 — 결정 미정,소셜 계정 연결 해제(unlink)·같은 이메일의 일반가입 계정과의 병합 정책이 원장에 없고 결정도 없다.,신우진,,식별자 정책(`STD-MEM-022`) 확정,G-t62-005,RC-18,회원·인증·권한 정책 미확정,소셜
GX-t62-006,t62,P03,로그인·세션 유지·비회원 세션,회원·인증,다,다 — 코드는 있는데 연결 안 됨,휴면(dormant) 응답 필드(`expireIn`)를 타입에는 두었으나 휴면 안내·해제 화면으로 이어지는 분기를 찾지 못했다 — P06 과 끊겨 있다.,김동학,,휴면 정책(`STD-MEM-019`) 확정,G-t62-006,RC-10,구 사이트 회원·잔액 이관과 컷오버 동결 창,휴면
GX-t62-007,t62,P04,계정 찾기(아이디·비밀번호),회원·인증,나,나 — 행은 있는데 코드 0,"화면·폼은 있으나 두 기능 모두 ""준비 중입니다"" 토스트로 끝난다. 샵바이 shop API 에는 `/profile/find-id`·`/profile/find-password`·`/profile/password/sending-email-with-url` 이 모두 있다 — 배선만 남았다.",김동학,,없음,G-t62-007,RC-05,샵바이 Server API — 명세는 완비인데 호출 코드가 0,샵바이
GX-t62-008,t62,P05,회원정보 변경·탈퇴,회원·인증,다,다 — 코드는 있는데 연결 안 됨,비밀번호 재확인 게이트(`/profile/check-password`)가 샵바이 스펙에는 있으나 `/mypage/account` 진입에 걸려 있는지 확인하지 못했다.,김동학,,없음,G-t62-008,RC-05,샵바이 Server API — 명세는 완비인데 호출 코드가 0,샵바이
GX-t62-009,t62,P05,회원정보 변경·탈퇴,회원·인증,라,라 — 결정 미정,탈퇴 시 프린팅머니 잔액·미사용 쿠폰 처리 규칙이 원장에도 결정에도 없다.,최숙진·신우진,,프린트머니 원장 소유 결정(`STD-MYP-051`),G-t62-009,RC-01,프린팅머니 원장 소유 미결(A 샵바이 적립금 vs B′ 후니 원장+외부포인트),프린팅머니
GX-t62-010,t62,P06,회원등급·휴면 생애주기,회원·인증,나,나 — 행은 있는데 코드 0,등급·휴면 모두 샵바이 server API(`/grades`·`/profile/grades`·`/profile/dormant`·`/profile/dormant-release`)와 shop API(`/member-grades`·`/profile/dormancy`)가 있으나 huni-mall·webadmin 어디에서도 호출 지점을 찾지 못했다.,서희항·최숙진,,등급 체계(등급 수·기준) 확정,G-t62-010,RC-05,샵바이 Server API — 명세는 완비인데 호출 코드가 0,샵바이
GX-t62-011,t62,P06,회원등급·휴면 생애주기,회원·인증,라,라 — 결정 미정,등급 체계 자체(몇 등급·기준 금액·혜택)가 원장에도 결정 문서에도 없다.,지니·최숙진,,없음,G-t62-011,RC-10,구 사이트 회원·잔액 이관과 컷오버 동결 창,휴면
GX-t62-012,t62,P06,회원등급·휴면 생애주기,회원·인증,가,가 — 원장에 행 없음,휴면 전환 사전 고지(메일·SMS) 발송이 원장에 행으로 없다 — 정보통신망법상 사전 통지가 필요하다.,최숙진,,휴면 정책 확정,G-t62-012,RC-09,알림 채널 결정·카카오 심사(리드타임이 우리 통제 밖),SMS
GX-t62-013,t62,P07,구 사이트 회원·프린트머니 잔액 이관,회원·인증,라,라 — 결정 미정,이관·PitStop 연동 담당이 `미정` 이다(`STD-MYP-024`). 담당이 없으면 시작할 수 없다.,신우진,,없음,G-t62-013,RC-01,프린팅머니 원장 소유 미결(A 샵바이 적립금 vs B′ 후니 원장+외부포인트),프린트머니
GX-t62-014,t62,P07,구 사이트 회원·프린트머니 잔액 이관,회원·인증,나,나 — 행은 있는데 코드 0,프린트머니 시드를 받을 그릇(`t_pm_charge_txn`)이 webadmin 에 없다 — 저장소 전체 검색에서 한 건도 찾지 못했다.,서희항,,`STD-MYP-043`(M1 원장 생성),G-t62-014,RC-01,프린팅머니 원장 소유 미결(A 샵바이 적립금 vs B′ 후니 원장+외부포인트),프린트머니
GX-t62-015,t62,P07,구 사이트 회원·프린트머니 잔액 이관,회원·인증,라,라 — 결정 미정,이관 시점의 잔액 기준일·동결 구간(구 사이트 사용 중지 시각)이 정해져 있지 않다.,신우진·지니,,컷오버 일정,G-t62-015,RC-01,프린팅머니 원장 소유 미결(A 샵바이 적립금 vs B′ 후니 원장+외부포인트),프린트머니
GX-t62-016,t62,P08,마이페이지 주문 조회·상세,마이페이지,다,다 — 코드는 있는데 연결 안 됨,편집상품 미리보기 버튼이 데드 버튼이다 — `configurator-actions.tsx:170-176` 에 `onClick` 이 없다. 미리보기 산출물 자체는 Edicus/위젯 몫이라 양쪽이 끊겨 있다.,김동학 + 서희항,,Edicus 미리보기 URL 계약 확정,G-t62-016,RC-13,에디터(Edicus)·보관함 연동 미결,Edicus
GX-t62-017,t62,P08,마이페이지 주문 조회·상세,마이페이지,나,나 — 행은 있는데 코드 0,마이페이지 통합 검색결과 LIST 화면(`STD-MYP-019`)의 코드를 찾지 못했다.,김동학,,IA 확정,G-t62-017,RC-23,실측으로 확인하지 못했다(코드·화면을 찾지 못함),찾지 못했
GX-t62-018,t62,P08,마이페이지 주문 조회·상세,마이페이지,라,라 — 결정 미정,"주문 상세에 ""사양""(위젯 옵션 조합)을 어디서 읽어올지 — 샵바이 주문 옵션인지 webadmin 위젯 주문인지 확정되지 않았다.",김동학·서희항,,order/register 경로 선택(t61 결정 안건),G-t62-018,RC-02,order/register 주문등록 S2S — 제공자는 살아 있고 호출측이 없다,order/register
GX-t62-019,t62,P09,편집 디자인·옵션 보관함,마이페이지,라,라 — 결정 미정,저장 시점(저장 버튼 vs 편집 종료 자동)·확대 범위(편집상품만 vs 일반상품)가 모두 미결이다. 두 결정이 없으면 화면을 그릴 수 없다.,신우진,,없음,G-t62-019,RC-13,에디터(Edicus)·보관함 연동 미결,보관함
GX-t62-020,t62,P09,편집 디자인·옵션 보관함,마이페이지,나,나 — 행은 있는데 코드 0,보관함 저장·조회를 받을 API·테이블을 huni-mall·webadmin 어디에서도 찾지 못했다.,김동학·서희항,,저장 시점 결정,G-t62-020,RC-13,에디터(Edicus)·보관함 연동 미결,보관함
GX-t62-021,t62,P09,편집 디자인·옵션 보관함,마이페이지,가,가 — 원장에 행 없음,보관기간 만료 사전 안내(만료 D-N 알림) 행이 원장에 없다.,최숙진,,보관 기간 정책 확정,G-t62-021,RC-13,에디터(Edicus)·보관함 연동 미결,보관함
GX-t62-022,t62,P10,프린팅머니 충전(무통장·가상계좌),마이페이지,라,라 — 결정 미정,원장 소유(A vs B′)가 미결이다 — 이 하나가 M0~M6 전부의 선행이다. 결정 전에는 어느 시스템에 그릇을 만들지조차 정할 수 없다.,지니,,없음,G-t62-022,RC-01,프린팅머니 원장 소유 미결(A 샵바이 적립금 vs B′ 후니 원장+외부포인트),프린팅머니
GX-t62-023,t62,P10,프린팅머니 충전(무통장·가상계좌),마이페이지,라,라 — 결정 미정,"토스 가상계좌 연동 담당이 `미정`, M0~M6 6개 마일스톤의 담당도 모두 `미정` 이다.",신우진,,원장 소유 결정,G-t62-023,RC-01,프린팅머니 원장 소유 미결(A 샵바이 적립금 vs B′ 후니 원장+외부포인트),가상계좌
GX-t62-024,t62,P10,프린팅머니 충전(무통장·가상계좌),마이페이지,다,다 — 코드는 있는데 연결 안 됨,충전 화면은 있으나 `useChargePoint` 가 `null` 을 반환하는 no-op mock 이다 — `legacy-data/hooks.ts:423-431`. 화면만 있고 아무 일도 일어나지 않는다.,김동학,,M1 원장 생성,G-t62-024,RC-01,프린팅머니 원장 소유 미결(A 샵바이 적립금 vs B′ 후니 원장+외부포인트),충전
GX-t62-025,t62,P10,프린팅머니 충전(무통장·가상계좌),마이페이지,다,다 — 코드는 있는데 연결 안 됨,"`/mypage/money` 는 ""UI 전용(정적)""이고 잔액이 상수 `0` 이다 — `money-section.tsx:8,52`. 같은 몰 안에 `/mypage/point`(샵바이 적립금 실연동)와 둘로 갈려 있다.",김동학,,`STD-MYP-054` 메뉴 중복 정리,G-t62-025,RC-01,프린팅머니 원장 소유 미결(A 샵바이 적립금 vs B′ 후니 원장+외부포인트),프린팅머니
GX-t62-026,t62,P10,프린팅머니 충전(무통장·가상계좌),마이페이지,나,나 — 행은 있는데 코드 0,`t_pm_charge_txn` 이 webadmin 저장소 전체에서 0건이다 — 원장 그릇 자체가 없다.,서희항,,원장 소유 결정,G-t62-026,RC-01,프린팅머니 원장 소유 미결(A 샵바이 적립금 vs B′ 후니 원장+외부포인트),프린팅머니
GX-t62-027,t62,P10,프린팅머니 충전(무통장·가상계좌),마이페이지,라,라 — 결정 미정,과입금·부분입금·충전 전용 계좌 분리 정책이 미결이라 웹훅 처리 분기를 확정할 수 없다.,지니·최숙진,,없음,G-t62-027,RC-01,프린팅머니 원장 소유 미결(A 샵바이 적립금 vs B′ 후니 원장+외부포인트),충전
GX-t62-028,t62,P11,프린팅머니 사용·충전 취소·환불,마이페이지,라,라 — 결정 미정,일부 사용 후 취소 정책(불가 vs 미사용분 부분 환불)이 미결이다 — M4 구현 분기를 정할 수 없다.,지니,,P10 원장 소유 결정,G-t62-028,RC-01,프린팅머니 원장 소유 미결(A 샵바이 적립금 vs B′ 후니 원장+외부포인트),프린팅머니
GX-t62-029,t62,P11,프린팅머니 사용·충전 취소·환불,마이페이지,나,나 — 행은 있는데 코드 0,전액결제 분기(M3)·취소/환불(M4) 모두 담당이 `미정` 이고 코드를 찾지 못했다.,신우진,,P10 M1·M2 완료,G-t62-029,RC-01,프린팅머니 원장 소유 미결(A 샵바이 적립금 vs B′ 후니 원장+외부포인트),프린팅머니
GX-t62-030,t62,P12,적립금 적립·운영자 수동 지급,마이페이지,나,나 — 행은 있는데 코드 0,구매확정 적립 규칙(적립률·대상)이 셀러어드민 설정인지 별도 잡인지 확인하지 못했다 — 호출 지점을 찾지 못했다.,최숙진,,적립 정책 확정,G-t62-030,RC-05,샵바이 Server API — 명세는 완비인데 호출 코드가 0,셀러어드민
GX-t62-031,t62,P12,적립금 적립·운영자 수동 지급,마이페이지,라,라 — 결정 미정,수동 지급·차감을 셀러어드민(샵바이 적립금)에서 할지 webadmin(후니 원장)에서 할지는 P10 의 원장 소유 결정에 딸려 있다.,지니,,`STD-MYP-051`,G-t62-031,RC-05,샵바이 Server API — 명세는 완비인데 호출 코드가 0,셀러어드민
GX-t62-032,t62,P13,쿠폰 보유·등록·주문 적용(고객),마이페이지,다,다 — 코드는 있는데 연결 안 됨,"쿠폰 적용은 주문서 화면에 붙어 있으나, 적용 결과가 위젯 계산가(webadmin `price-calc`)와 어떻게 합쳐지는지 확인하지 못했다 — 인쇄 상품은 가격이 샵바이 `salePrice` 가 아니다.",김동학·서희항,,order/register 경로 선택,G-t62-032,RC-02,order/register 주문등록 S2S — 제공자는 살아 있고 호출측이 없다,order/register
GX-t62-033,t62,P14,리뷰 작성·보상,마이페이지,라,라 — 결정 미정,"headless 전제 충돌 — `STD-PRM-009`(사진 리뷰 보상)는 ""샵바이 몰에서 쓴다""를 전제로 `작동` 판정인데, 리뷰 작성 화면은 huni-mall 몫(`STD-MYP-012`)이다. API 로 등록한 리뷰에 보상이 붙는지 확인되지 않았다.",최숙진(샵바이 회신 확인),,없음,G-t62-033,RC-05,샵바이 Server API — 명세는 완비인데 호출 코드가 0,샵바이
GX-t62-034,t62,P14,리뷰 작성·보상,마이페이지,나,나 — 행은 있는데 코드 0,리뷰 삭제 시 보상 회수(`STD-PRM-008`) 규칙·호출 지점을 찾지 못했다.,최숙진,,보상 정책 확정,G-t62-034,RC-19,게시판·문의·리뷰 응대 운영,리뷰
GX-t62-035,t62,P14,리뷰 작성·보상,마이페이지,나,나 — 행은 있는데 코드 0,이용후기 메인(`STD-PRM-016`) 화면의 코드를 찾지 못했다.,김동학,,IA 확정,G-t62-035,RC-19,게시판·문의·리뷰 응대 운영,후기
GX-t62-036,t62,P15,내 문의 조회(상품Q&A·1:1),마이페이지,나,나 — 행은 있는데 코드 0,화면·호출을 찾지 못했다. 샵바이에는 display `/inquiry`(상품문의)와 manage `/inquiries`(1:1)가 따로 있어 두 원천을 합쳐야 한다.,김동학,,문의 유형 체계 확정(P28),G-t62-036,RC-05,샵바이 Server API — 명세는 완비인데 호출 코드가 0,샵바이
