row_id,track,step,title,status,owner_now,remaining,verdict,owner_proposed,judged_by,basis,note,evidence
T1-1,T1,F1,관리서버(webadmin) Lightsail dev 배포·검증 — F1-1~F1-5,미착수,서희항,Y,담당맞음,서희항,rule-step,_workspace/huni-launch-runway/07_rebaseline/S/S4-infra/migration-plan.md:36,사는 시스템 미확인 — 단계 F1 기본 담당과 일치(약한 근거),_workspace/huni-launch-runway/07_rebaseline/S/S4-infra/migration-plan.md:36
T1-2,T1,F2,DB 반입(PG 18.6→17) 리허설·본반입·검증 4종·vc_ 분리 — F2-1~F2-4,미착수,서희항,Y,담당맞음,서희항,rule-step,_workspace/huni-launch-runway/07_rebaseline/S/S4-infra/migration-plan.md:46,사는 시스템 미확인 — 단계 F2 기본 담당과 일치(약한 근거),_workspace/huni-launch-runway/07_rebaseline/S/S4-infra/migration-plan.md:46
T1-3,T1,F3,운영 전환 12단계(F3-11 Railway 종료는 오픈 테스트 통과 전 금지),미착수,서희항,Y,담당맞음,서희항,rule-step,_workspace/huni-launch-runway/07_rebaseline/S/S4-infra/migration-plan.md:55,사는 시스템 미확인 — 단계 F3 기본 담당과 일치(약한 근거),_workspace/huni-launch-runway/07_rebaseline/S/S4-infra/migration-plan.md:55
T1-4,T1,F4,스킨 컨테이너화·도메인·소셜 콜백·env 이관(F4-8 Vercel 정지는 오픈 테스트 통과 전 금지) + 로그인 리다이렉트 재검증,미착수,김동학,Y,담당맞음,김동학,rule-step,_workspace/huni-launch-runway/07_rebaseline/S/S4-infra/migration-plan.md:72,사는 시스템 미확인 — 단계 F4 기본 담당과 일치(약한 근거),_workspace/huni-launch-runway/07_rebaseline/S/S4-infra/migration-plan.md:72
T2-1,T2,A1,상품·가격 데이터 충전 — 기본사양가 없음 2건·0원 조합 교정,부분,최숙진,Y,담당맞음,최숙진,rule-step,_workspace/huni-launch-runway/07_rebaseline/S/S5-plan/status-28.csv:3,사는 시스템 미확인 — 단계 A1 기본 담당과 일치(약한 근거),_workspace/huni-launch-runway/07_rebaseline/S/S5-plan/status-28.csv:3
T2-2,T2,A3,위젯 기본값 미지정 교정·재게시,부분,최숙진,Y,재배정,서희항,merged-owner_side,"merged.csv t49:258,t49:259,t49:300 owner_side/system=widget",그 일이 사는 곳=widget,_workspace/huni-launch-runway/07_rebaseline/S/S5-plan/status-28.csv:4
T2-3,T2,A4,샵바이 상품 연동 — 시작가 「10원~」 교정·상품 수 296/291/297 불일치 규명,부분,서희항,Y,담당맞음,서희항,merged-owner_side,"merged.csv t49:159,t49:160,t49:195 owner_side/system=webadmin",,_workspace/huni-launch-runway/07_rebaseline/S/S5-plan/status-28.csv:5
T2-4,T2,B2,위젯 견적·원고 업로드·편집기(Edicus) 경로 검증,부분,서희항,Y,담당맞음,서희항,merged-owner_side,"merged.csv t49:226,t49:250 owner_side/system=webadmin,widget","여러 시스템에 걸치나 담당은 한 사람(webadmin,widget)",_workspace/huni-launch-runway/07_rebaseline/S/S5-plan/status-28.csv:9
T3-1,T3,B4,회원 장바구니 인증 결함 수정(서버 프록시 토큰 · D-1) — 결함 1·2·3·5 공통 뿌리,부분,김동학,Y,담당맞음,김동학,rule-step,_workspace/huni-launch-runway/07_rebaseline/S/S6-defects/defect-code-analysis.md:5,사는 시스템 미확인 — 단계 B4 기본 담당과 일치(약한 근거),_workspace/huni-launch-runway/07_rebaseline/S/S6-defects/defect-code-analysis.md:5
T3-2,T3,B5,로그인 성공인데 오류 문구·리다이렉트 없음 수정(D-2) + 회원 이관 경로 확정,부분,김동학,Y,분할,김동학+신우진,rule-track,_workspace/huni-launch-runway/07_rebaseline/S/S6-defects/defect-code-analysis.md:24,결정 안건이 실무 담당에게 걸려 있다 — 결정(PM)/실행(담당) 분리,_workspace/huni-launch-runway/07_rebaseline/S/S6-defects/defect-code-analysis.md:24
