row_id,data_role,track,step,title,std_ids,owner_name,target_date,effort_lb_days,week_plus_cnt,undetermined_cnt,nondev_cnt,open_rows,date_basis,evidence,check_method,prereq,status,data_owner,data_work,api_path,api_evidence,forced_by_impl,api_basis,wait_target,irreversible,note,source
T1-1,top,T1,F1,관리서버(webadmin) Lightsail dev 배포·검증 — F1-1~F1-5,NEW,서희항,미산정(런북 단계 수 5 · 원장 미완 행 없음),0,0,0,0,0,임계경로 미산정 구간,_workspace/huni-launch-runway/07_rebaseline/S/S4-infra/migration-plan.md:36,Lightsail 콘솔을 열어 admin 서비스가 healthy 이고 /healthz 페이지에 접속하면 ok 가 나오는지 조회한다,외부(인프라팀) OIDC 신뢰정책·시크릿 회신,미착수,huni,dev,none,샵바이 비경유,,F1 · 매칭 규칙 없음,,,NEW 사유: 원장은 기능 원장이라 인프라 이전 행이 없다(S4 런북이 원천),top
T1-2,top,T1,F2,DB 반입(PG 18.6→17) 리허설·본반입·검증 4종·vc_ 분리 — F2-1~F2-4,NEW,서희항,미산정(런북 단계 수 4 · 원장 미완 행 없음),0,0,0,0,0,임계경로 미산정 구간,_workspace/huni-launch-runway/07_rebaseline/S/S4-infra/migration-plan.md:46,리허설 결과 로그를 열어 검증 4종이 exit 0 이고 행수 지문 목록이 Railway 와 같은지 조회한다,외부(인프라팀) SSH 터널·PG 17 인스턴스,미착수,huni,dev,none,샵바이 비경유,,F2 · 매칭 규칙 없음,,,NEW 사유: 원장에 행 없음(S4 런북이 원천),top
T1-3,top,T1,F3,운영 전환 12단계(F3-11 Railway 종료는 오픈 테스트 통과 전 금지),NEW,서희항,미산정(런북 단계 수 10 · 원장 미완 행 없음),0,0,0,0,0,임계경로 미산정 구간,_workspace/huni-launch-runway/07_rebaseline/S/S4-infra/migration-plan.md:55,huni-admin.printly.co.kr/healthz 페이지에 접속해 200 을 보고 Railway 콘솔에서 크론이 정지 상태인지 조회한다,T1-2,미착수,huni,dev,none,샵바이 비경유,,F3 · 매칭 규칙 없음,,,NEW 사유: 원장에 행 없음(S4 런북이 원천),top
T1-4,top,T1,F4,스킨 컨테이너화·도메인·소셜 콜백·env 이관(F4-8 Vercel 정지는 오픈 테스트 통과 전 금지) + 로그인 리다이렉트 재검증,STD-SYS-024;STD-SYS-036;STD-SYS-040;STD-SYS-052,김동학,2026-09-17,1,0,0,3,4,가장 이른 완료일(하한) · 런북 8단계 미산정 제외,_workspace/huni-launch-runway/07_rebaseline/S/S4-infra/migration-plan.md:72,shopby.huniprinting.co.kr 로그인 페이지에 접속해 구글·네이버·카카오 버튼을 각각 눌러 마이페이지 화면으로 돌아오는지 조회한다,외부(Vercel 계정 소유자) 접근 · 외부(소셜 3사 콘솔 권한자),미착수,huni,dev,none,샵바이 비경유,,F4 · 매칭 규칙 없음,,,구간=F4·E2,top
T2-1,top,T2,A1,상품·가격 데이터 충전 — 기본사양가 없음 2건·0원 조합 교정,STD-CAT-023;STD-CAT-024;STD-CAT-025;STD-CAT-026;STD-CAT-028;STD-CAT-031;STD-CAT-033;STD-CAT-035;STD-CAT-036;STD-CAT-037;STD-CAT-038;STD-CAT-039;STD-CAT-040;STD-CAT-041;STD-OPT-043;STD-OPT-044;STD-OPT-045;STD-OPT-046;STD-OPT-047;STD-OPT-048;STD-OPT-049;STD-OPT-050;STD-OPT-051;STD-OPT-052;STD-ADP-001;STD-ADP-002;STD-ADP-003;STD-ADP-004;STD-ADP-005;STD-ADP-006;STD-ADP-007;STD-ADP-008;STD-ADP-009;STD-ADP-010;STD-ADP-011;STD-ADP-012;STD-ADP-013;STD-ADP-014;STD-ADP-015;STD-ADP-016;STD-ADP-023;STD-ADP-024;STD-ADP-025;STD-ADP-026;STD-ADP-027;STD-ADP-028;STD-ADP-029;STD-ADP-030;STD-ADP-031;STD-ADP-032;STD-ADP-033;STD-ADP-034;STD-ADP-035;STD-ADP-036;STD-ADP-037,최숙진,2026-09-30,8,0,0,15,20,가장 이른 완료일(하한),_workspace/huni-launch-runway/07_rebaseline/S/S5-plan/status-28.csv:3,webadmin 가격 시뮬레이터 화면을 열어 아크릴키링·무선책자를 조회하고 0원 구성요소가 목록에 없는지 확인한다,—,부분,huni,config,none,샵바이 비경유,,A1 · 매칭 규칙 없음,,,구간=A1·A2,top
T2-2,top,T2,A3,위젯 기본값 미지정 교정·재게시,STD-OPT-001;STD-OPT-002;STD-OPT-003;STD-OPT-004;STD-OPT-005;STD-OPT-006;STD-OPT-007;STD-OPT-037;STD-OPT-038;STD-OPT-039;STD-OPT-040;STD-OPT-041;STD-OPT-042;STD-ADP-017;STD-ADP-018;STD-ADP-019;STD-ADP-020;STD-ADP-021;STD-ADP-022,최숙진,2026-10-01,1,0,0,7,8,가장 이른 완료일(하한),_workspace/huni-launch-runway/07_rebaseline/S/S5-plan/status-28.csv:4,webadmin 위젯빌더 메뉴를 열어 미리보기에서 기본값 상태 가격이 0원이 아닌지 조회하고 게시 목록에 게시됨으로 뜨는지 본다,T2-1 · 결정 10(기본값 지정 주체),부분,huni,config,none,샵바이 비경유,,A3 · 매칭 규칙 없음,,,구간=A3,top
T2-3,top,T2,A4,샵바이 상품 연동 — 시작가 「10원~」 교정·상품 수 296/291/297 불일치 규명,STD-CAT-001;STD-CAT-002;STD-CAT-003;STD-CAT-022;STD-CAT-030;STD-CAT-043,서희항,2026-09-28,6,0,0,1,5,가장 이른 완료일(하한),_workspace/huni-launch-runway/07_rebaseline/S/S5-plan/status-28.csv:5,shopby.huniprinting.co.kr 스티커 카테고리 페이지에 접속해 카드 가격이 10원~ 이 아닌 기본사양가로 나오는지 조회한다,결정 23·29,부분,huni,dev,server-api,product-server-public.endpoints.json PATCH /products/{productNo}/,,A4∈구간집합 · 규칙 /상품 연동|상품 등록|판매가|시작가|전시|판매상태|대표 ?이미지|메인이미지/,,,구간=A4,top
T2-4,top,T2,B2,위젯 견적·원고 업로드·편집기(Edicus) 경로 검증,STD-OPT-008;STD-OPT-009;STD-OPT-010;STD-OPT-011;STD-OPT-012;STD-OPT-013;STD-OPT-014;STD-OPT-015;STD-OPT-016;STD-OPT-017;STD-OPT-018;STD-OPT-019;STD-OPT-020;STD-OPT-021;STD-OPT-022;STD-OPT-023;STD-OPT-024;STD-OPT-025;STD-OPT-026;STD-OPT-027;STD-OPT-028;STD-OPT-029;STD-OPT-030;STD-OPT-031;STD-OPT-032;STD-OPT-033;STD-OPT-034;STD-OPT-035;STD-OPT-036;STD-OPT-053;STD-OPT-054;STD-OPT-055;STD-OPT-056;STD-ART-001;STD-ART-002;STD-ART-003;STD-ART-004;STD-ART-005;STD-ART-006;STD-ART-007;STD-ART-019;STD-ART-020;STD-ART-021;STD-ART-022;STD-ART-023;STD-ART-024;STD-ART-025;STD-ART-030;STD-ART-031;STD-ART-032,서희항,2026-10-13,14,1,0,23,29,가장 이른 완료일(하한),_workspace/huni-launch-runway/07_rebaseline/S/S5-plan/status-28.csv:9,하드커버링책자 상품 페이지에 접속해 편집기 버튼을 눌러 저장 후 위젯 화면에 편집 완료가 표시되는지 조회한다,T3-1(담기 결함),부분,huni,dev,none,샵바이 비경유,,B2 · 매칭 규칙 없음,,,구간=B2·B3,top
T3-1,top,T3,B4,회원 장바구니 인증 결함 수정(서버 프록시 토큰 · D-1) — 결함 1·2·3·5 공통 뿌리,STD-ORD-001;STD-ORD-002;STD-ORD-003;STD-ORD-004;STD-ORD-005;STD-ORD-006;STD-ORD-007;STD-ORD-008,김동학,2026-09-17,1,0,0,0,1,가장 이른 완료일(하한),_workspace/huni-launch-runway/07_rebaseline/S/S6-defects/defect-code-analysis.md:5,로그인 후 상품 페이지에서 장바구니 버튼을 누르고 /cart 페이지에 접속해 담은 항목이 목록에 보이는지 조회한다,서버 로그 「[shop proxy] GET /cart」 1줄(지니),부분,huni,dev,shop-api,order-shop-public.endpoints.json GET /cart,,B4∈구간집합 · 규칙 /장바구니|/cart|카트/,,,구간=B4,top
T3-2,top,T3,B5,로그인 성공인데 오류 문구·리다이렉트 없음 수정(D-2) + 회원 이관 경로 확정,STD-MEM-001;STD-MEM-002;STD-MEM-003;STD-MEM-004;STD-MEM-005;STD-MEM-006;STD-MEM-007;STD-MEM-008;STD-MEM-009;STD-MEM-010;STD-MEM-011;STD-MEM-012;STD-MEM-013;STD-MEM-014;STD-MEM-015;STD-MEM-016;STD-MEM-017;STD-MEM-018;STD-MEM-019;STD-MEM-020;STD-MEM-021;STD-MEM-022;STD-MEM-023;STD-MEM-024,김동학,2026-09-22,3.5,0,0,17,21,가장 이른 완료일(하한),_workspace/huni-launch-runway/07_rebaseline/S/S6-defects/defect-code-analysis.md:24,shopby.huniprinting.co.kr 로그인 페이지에 접속해 정상 계정으로 로그인을 누르면 오류 문구 없이 마이페이지 화면으로 이동하는지 조회한다,결정 8(테스트 회원 계정) · 외부(구 사이트 운영사) DB 접속,부분,huni,dev,server-api,member-server-public.endpoints.json POST /members/external,,B5∈구간집합 · 규칙 /외부회원|회원 이관|회원 일괄|일괄등록|일괄 등록/,,,구간=B5,top
