prd_cd,proc_cd,excl_grp_cd,mand_proc_yn,disp_seq,reg_dt,upd_dt,_provenance
PRD_000153,PROC_000053,,Y,12,2026-06-05 00:00:00,,"도메인(아크릴 die-cut 묵시필수, G-AC-1/C-7): 아크릴명찰(골드실버) → 완칼 PROC_000053 (모양 param=사용자입력형)"
PRD_000153,PROC_000002,,Y,5,2026-06-05 00:00:00,,"L1:아크릴명찰(골드실버) 인쇄사양=풀빼다 → UV PROC_000002 변형 enum (print_side 오적재 정정, G-AC-5/§3)"
PRD_000156,PROC_000053,,Y,12,2026-06-05 00:00:00,,"도메인(아크릴 die-cut 묵시필수, G-AC-1/C-7): 아크릴지비츠 → 완칼 PROC_000053 (모양 param=사용자입력형)"
PRD_000156,PROC_000002,,Y,5,2026-06-05 00:00:00,,"L1:아크릴지비츠 인쇄사양=풀빼다 → UV PROC_000002 변형 enum (print_side 오적재 정정, G-AC-5/§3)"
PRD_000159,PROC_000053,,Y,12,2026-06-05 00:00:00,,"도메인(아크릴 die-cut 묵시필수, G-AC-1/C-7): 아크릴 코스터 → 완칼 PROC_000053 (모양 param=사용자입력형)"
PRD_000159,PROC_000002,,Y,5,2026-06-05 00:00:00,,"L1:아크릴 코스터 인쇄사양=배면양면 → UV PROC_000002 변형 enum (print_side 오적재 정정, G-AC-5/§3)"
PRD_000164,PROC_000053,,Y,12,2026-06-05 00:00:00,,"도메인(아크릴 die-cut 묵시필수, G-AC-1/C-7): 아크릴코롯토 → 완칼 PROC_000053 (모양 param=사용자입력형)"
PRD_000164,PROC_000002,,Y,5,2026-06-05 00:00:00,,"L1:아크릴코롯토 인쇄사양=배면양면 → UV PROC_000002 변형 enum (print_side 오적재 정정, G-AC-5/§3)"
PRD_000165,PROC_000053,,Y,12,2026-06-05 00:00:00,,"도메인(아크릴 die-cut 묵시필수, G-AC-1/C-7): 포카코롯토 → 완칼 PROC_000053 (모양 param=사용자입력형)"
PRD_000165,PROC_000002,,Y,5,2026-06-05 00:00:00,,"L1:포카코롯토 인쇄사양=배면양면 → UV PROC_000002 변형 enum (print_side 오적재 정정, G-AC-5/§3)"
PRD_000166,PROC_000053,,Y,12,2026-06-05 00:00:00,,"도메인(아크릴 die-cut 묵시필수, G-AC-1/C-7): 아크릴카라비너 → 완칼 PROC_000053 (모양 param=사용자입력형)"
PRD_000166,PROC_000002,,Y,5,2026-06-05 00:00:00,,"L1:아크릴카라비너 인쇄사양=배면양면 → UV PROC_000002 변형 enum (print_side 오적재 정정, G-AC-5/§3)"
PRD_000161,PROC_000053,,Y,12,2026-06-05 00:00:00,,"[OVER-REACH 보류·use_yn=Y] 판아크릴 → 완칼 PROC_000053: product-level 완칼 근거 부재(recipe tree Case10=UV단품→포장, 컷 단계 자체 없음). C-7 RULE의 blanket 확대 — 컨펌(D-AC-8). 161 UV행은 active 유지(인쇄사양=배면양면 L1 실재)"
PRD_000168,PROC_000053,,Y,12,2026-06-05 00:00:00,,"[OVER-REACH 보류·use_yn=Y] 아크릴입체코롯토 → 완칼 PROC_000053: product-level 완칼 근거 전무(L1 소재/인쇄사양/조각수/가공 전부 공백, 옵션 신호 0). 3건 중 가장 ungrounded — 컨펌(D-AC-8)"
PRD_000169,PROC_000053,,Y,12,2026-06-05 00:00:00,,"[OVER-REACH 보류·use_yn=Y] 아크릴입체블럭 → 완칼 PROC_000053: 라미(10T) 적층 블럭 = 시트컷 아닌 조립/적층 가능성, product-level 컷 근거 부재. C-7 RULE의 blanket 확대 — 컨펌(D-AC-8)"
