mat_cd,mat_nm,mat_typ_cd,mat_typ_nm,wire,disposition,canonical_mat_cd,근거,돈영향
MAT_000008,레더,MAT_TYPE.06,도장부자재,23,REVIVE,,"레더=23개 레더상품(코스터/파우치/필통/백)의 본질 소재·dflt_yn=Y(유일 소재). 활성 정본 레더 stock 부재(.06 5종 전부 del_yn=Y) → REWIRE 불가. 단가행 0 → 부활해도 청구 불변. W1-1 부활과 동형",0원(단가행0)
MAT_000260,아트250 + 무광코팅,MAT_TYPE.01,디지털인쇄용지,7,REWIRE,MAT_000250,"동일명·동일유형 활성 정본 MAT_000250(아트250+무광코팅) 존재. 260은 7개 다이어리/노트의 표지(USAGE.02), 250은 포토북 표지(USAGE.02)로 의미축 일치. 양쪽 단가행 0 → 청구 불변",0원(양쪽 단가행0)
MAT_000261,무지내지,MAT_TYPE.01,디지털인쇄용지,4,REVIVE,,"무지내지=4개 노트류(스프링노트/수첩/메모패드/중철노트)의 내지(USAGE.01)·dflt. 활성 정본 무지내지 부재(유일행이 좀비) → REVIVE. 단가행 0",0원(단가행0)
MAT_000005,하드커버,MAT_TYPE.01,디지털인쇄용지,1,BLOCKED-CONFIRM,,"포토북 표지타입(하드커버)=USAGE.06 옵션 의미인데 USAGE.02 자재로 박힘. 표지종이 OK행(MAT_000250) 별존. 표지타입 CPQ 옵션화(W2)와 동반 처리 필요 → 배선 논리삭제 후보이나 옵션 설계 트랙 의존. material-remediation-spec P2-3와 동일",0원(단가행0)
MAT_000007,소프트커버,MAT_TYPE.01,디지털인쇄용지,1,BLOCKED-CONFIRM,,"포토북 표지타입(소프트커버)=USAGE.06 옵션 의미. P2-4와 동일. 옵션화 동반 필요",0원(단가행0)
MAT_000006,레더하드커버,MAT_TYPE.06,도장부자재,1,BLOCKED-CONFIRM,,"포토북 표지타입(레더하드커버)=USAGE.06 옵션 의미. P2-5와 동일. 옵션화 동반 필요",0원(단가행0)
MAT_000251,그레이,MAT_TYPE.01,디지털인쇄용지,1,BLOCKED-CONFIRM,,"포토북 면지=그레이=면지색 옵션값(종이 미특정). material-remediation-spec P1-A/P2-6와 동일. 면지색 CPQ 옵션화 의존",0원(단가행0)
MAT_000244,투명커버 유광투명커버,MAT_TYPE.02,링제본부자재,1,BLOCKED-CONFIRM,,"트윈링책자 투명커버(USAGE.05)=마감 옵션값. 투명커버 마감 CPQ 옵션화 의존. upr_mat_cd=MAT_000009",0원(단가행0)
MAT_000245,투명커버 무광투명커버,MAT_TYPE.02,링제본부자재,1,BLOCKED-CONFIRM,,"트윈링책자 투명커버(USAGE.05)=마감 옵션값. 244와 동일",0원(단가행0)
MAT_000192,투명아크릴,MAT_TYPE.03,아크릴부자재,2,BLOCKED-CONFIRM,,"아크릴입체블럭/지비츠 소재. 활성 정본 후보=MAT_000042/043/044(아크릴 투명 1.5/3/8mm)이나 두께 미특정 → 정본 단일 특정 불가(추측 금지). REVIVE vs REWIRE 결정 필요",0원(단가행0)
