gate,scenario,productCode,call_label,check,method,oracle_value,reconstruction_value,verdict,evidence
VP-1,G-RP,AIPPCUT,base ORD1 PRN1,ORD_INFO 가격필드 정합,differential-serialize,golden reqBody,emit reqBody,PASS,golden_AIPPCUT_real.json:22-58
VP-1,G-RP,AIPPCUT,base ORD1 PRN1,PCS_INFO ATTB 타입,differential-serialize,1(number),"""1""(string)",FAIL,D1 divergence-cases.md
VP-1,G-RP,AIPPCUT,mtrl variant EC002,PCS_INFO ATTB 타입,differential-serialize,1(number),"""1""(string)",FAIL,D1
VP-1,G-FU,STPADPN,A4 ORD1 PRN1,ORD_INFO+PCS+price_gbn+mb_cust_cod 정합,differential-serialize,golden reqBody,emit reqBody,PASS,golden_STPADPN_fixed.json:22-51
VP-1,G-FU,STPADPN,bigger size 210x297,전 필드 정합,differential-serialize,golden reqBody,emit reqBody,PASS,golden_STPADPN_fixed.json:82-111
VP-1,G-TD,GSTGMIC,PRN_CNT=1,PCS_INFO ATTB 타입,differential-serialize,1(number),"""1""(string)",FAIL,D1
VP-1,G-TD,GSTGMIC,PRN_CNT=2,PCS_INFO ATTB 타입,differential-serialize,2(number),"""2""(string)",FAIL,D1
VP-1,G-TD,GSTGMIC,PRN_CNT=5,PCS_INFO ATTB 타입,differential-serialize,5(number),"""5""(string)",FAIL,D1
VP-1,G-TD,GSTGMIC,PRN_CNT=10,PCS_INFO ATTB 타입,differential-serialize,10(number),"""10""(string)",FAIL,D1
VP-1,G-TD,GSTGMIC,PRN_CNT=30,PCS_INFO ATTB 타입,differential-serialize,30(number),"""30""(string)",FAIL,D1
VP-1,G-TD,GSTGMIC,PRN_CNT=100,PCS_INFO ATTB 타입,differential-serialize,100(number),"""100""(string)",FAIL,D1
VP-1,G-TM,GSPUFBC,complete ORD100 PRN1,전 필드 정합(ATTB 전 ''),differential-serialize,golden reqBody,emit reqBody,PASS,golden_GSPUFBC_tmpl.json:22-56
VP-1,G-TM,GSPUFBC,ORD_CNT=1,전 필드 정합,differential-serialize,golden reqBody,emit reqBody,PASS,golden_GSPUFBC_tmpl.json:90-124
VP-1,G-TM,GSPUFBC,ORD_CNT=10,전 필드 정합,differential-serialize,golden reqBody,emit reqBody,PASS,golden_GSPUFBC_tmpl.json:160-194
VP-1,G-BK,PRBKYPR,A5 PAGE24 INN_CLR1,책자 분리필드 정합,differential-serialize,golden reqBody,emit reqBody,PASS-partial,golden_PRBKYPR_book.json:22-42
VP-1,G-BK,PRBKYPR,A5 PAGE24 INN_CLR1,PRN_CLR_CNT 발명,differential-serialize,(부재),4(number),FAIL,D2
VP-1,G-BK,PRBKYPR,A5 PAGE24 INN_CLR1,MTRL_CD 발명,differential-serialize,(부재),RXART300,FAIL,D3
VP-1,G-BK,PRBKYPR,A5 PAGE48,PRN_CLR_CNT+MTRL_CD 발명,differential-serialize,(부재),"4,RXART300",FAIL,D2/D3
VP-1,G-BK,PRBKYPR,A5 PAGE100 INN_CLR4,PRN_CLR_CNT+MTRL_CD 발명,differential-serialize,(부재),"4,RXART300",FAIL,D2/D3
VP-1,G-ATTB,GSNTSPR,ATTB고정 ORD1 PRN1,INN_DFT ATTB 타입,differential-serialize,1(number),"""1""(string)",FAIL,D1
VP-1,G-ATTB,GSNTSPR,ATTB고정 ORD1 PRN5,INN_DFT ATTB 타입,differential-serialize,1(number),"""1""(string)",FAIL,D1
VP-1,G-ATTB,GSNTSPR,ATTB고정 ORD5 PRN1,INN_DFT ATTB 타입,differential-serialize,1(number),"""1""(string)",FAIL,D1
