file,unit,line_range,kind,est_identifiers,priority,note
deob_05_app_api.js,full-file,1-1507,proprietary,0,Low,"이미 부분 디옵된 산출물(이전 패스). AST 스캔 결과 길이<=2 바인딩 0개·330 바인딩 전부 의미식별자 — 잔여 리네임 대상 0. rename-map은 preserve-only(도메인 계약 가드). 헤더/stats가 가리킨 후반부(Pinia 스토어·주문요약·RedWidgetSDK 클래스·Vue 컴포넌트)는 이 파일에 미포함(line 1503-1507 TODO: mod_06로 위임). 한국어 번역사전(TRANSLATIONS_KO/원본 HT)도 본문 생략."
deob_05_app_api.js,free-ref-check,1-1507,proprietary,0,Low,"free-ref(리네임 불가): prompt가 지목한 렌더헬퍼(g/V/M/j/T/ce/de/oe/he)·디렉티브(yt/We/Wi/od/Kt)·컴포넌트 레지스트리 변수(Bl/Xl/Jl/Vl/Yl) — 본문에 바인딩으로도 자유참조로도 미존재. 매치된 토큰은 전부 주석/문자열/정규식플래그(예: HT/F1/L1=헤더·TODO 주석, g=정규식 /g 플래그, We=영문 'We apologize' 리터럴). 추측 리네임 금지·코드모드 대상 아님."
deob_06_app_widget_sdk.js,full-file,1-1392,proprietary,0,Low,"이미 부분 디옵된 산출물(이전 패스). AST 스캔(@babel/traverse Scope) 결과 164 바인딩 중 길이<=3은 key(Vue/loop param) 1개뿐·축약 바인딩 0개 — 잔여 리네임 대상 0. stats key_renames(F1→RedWidgetSDK·Bl→Sizes·fe→OptionRow 등)는 이미 본문 적용됨. rename-map은 preserve-only(도메인/API 계약 32키 가드, 본문 실재 22키 확인). 헤더 26섹션·JSDoc은 comment-map으로 배너/JSDoc 재주입. 일부 컴포넌트/헬퍼(classifyPostProcessOptions·buildUploadConfig·useOrderState·일부 의류 컴포넌트)는 이전 패스가 본문을 '원본 mod_06 line N과 동일' placeholder 주석으로 생략 — 바인딩 부재라 리네임 대상 아님."
deob_06_app_widget_sdk.js,free-ref-check,1-1392,proprietary,0,Low,"free-ref(리네임 불가): prompt가 지목한 렌더헬퍼·디렉티브·레지스트리 변수가 본문에 단/이중문자로 미존재 — 이미 풀네임으로 적용됨. Vue 3 런타임 헬퍼는 free-ref(번들 전역·모듈 지역 바인딩 아님)로 이미 의미명: createBlock·createVNode·createComment·createElement·openBlock·renderList·renderSlot·withCtx·withDirectives·withScopeId·normalizeClass·normalizeStyle·toDisplayString·vShow·Fragment·unref·ref·reactive·computed·watch·inject·storeToRefs·defineComponent·defineStore. 단/이중문자 free-ref 0개. 유일한 'g' 토큰(line 1054)=템플릿 리터럴 무게단위 'g'(120g) 문자열·식별자 아님. 추측 리네임 금지."
deob_editor_sdk.js,proprietary-sdk-iife,78-12630,proprietary,52,High,"★헤더-only 매핑(본문 미적용): stats renamedIdentifiers의 52개 식별자가 전부 IIFE@78(`!function(We){...}`, 범위 78-12630)에 단/이중문자 바인딩으로 ★아직 살아있음(이전 패스는 한국어 주석+헤더 매핑표만 추가·scope.rename 미실행). 52건 전부 rename-map에 scope=iife:78로 등록. AST 코드모드 dry-run 검증: applied=52·node --check PASS·body에 sessionStorageManager(91)·editorBridge(72)·ddpBlockBuilder(22) 등 출현. 주요 식별자: Qe→editorBridge·a→ApiClient·t→RedEditorSDK·X→CustomTabManager·D→sessionStorageManager·G→ddpBlockBuilder·K→sdkState·en→apiClientInstance + 22 이벤트콜백(l/f/p/d/h/v...)+2 KOI 리스너(s/q). ★스크립트 보강: apply-rename-map.cjs scopeMatches에 iife:<startLine> 셀렉터 추가(익명 IIFE 스코프 확정 매칭·줄번호 앵커)."
deob_editor_sdk.js,thirdparty-fold,67-9527,thirdparty,0,Low,"서드파티 2블록 fold(리네임 제외): Sentry @sentry/browser v5.22.0(67-2534, IIFE@80 래핑·내부 151 바인딩 At/Bt/Dt/lt/vt 등 Sentry 전용)·Babel 폴리필+regeneratorRuntime(2888-9527). Babel transpile helpers(1-66 _slicedToArray/_extends/_createClass/_typeof)는 유지=fold 아님. thirdparty-ranges.json 2건. fold-thirdparty.cjs가 본문 region 배너+추출본 생성(동작 보존·주석만)."
deob_editor_sdk.js,free-ref-check,78-12630,proprietary,0,Low,"free-ref/미존재(리네임 불가): prompt 지목 Vue 토큰 중 Bl/Xl/Jl/Vl/Yl/Wi/od=바인딩 미존재(이 SDK는 Vue 런타임 없음·Edicus 에디터 브릿지). Kt/yt/Wt=바인딩이나 Sentry 내부(scope@80·fold 범위 67-2534)라 Vue 디렉티브 아님·리네임 대상 아님. g/V/M/j/T/ce/de/oe/he/We=실 바인딩이나 SDK 자체 콜백/상태(g=onHistoryStateCallback·V=sentryHubInstance·M=autoSaveIntervalId·We=windowRef IIFE param) 또는 Sentry 내부 — Vue 렌더헬퍼 아님(이미 rename-map에 포함 또는 fold). 추측 리네임 금지."
deob_editor_sdk.js,free-ref-residual,114-18828,proprietary,307,High,"★verdict attempt1 G4 NO-GO 회송 처리(307 proprietary 잔여 분류). AST(g4_proprietary.cjs/classify_residual.cjs) 전수 분류 — 307건 전부 ★conventional minifier 지역 바인딩(고유 의미명 부여 불가·추측 금지)으로 free-ref 확정: ① single-char n×103·o×38·r×58·Q×1·Z×1=201건(중첩 익명 스코프마다 별개의 loop-index/temp/param/array/object 임시·i/j/e류 관례명과 동일 성격). ② two-char 106건 전부 count=1(미니파이어 이름생성기 시퀀스 $e..zt·각 1회용 지역). 카테고리: varTemp 204·paramTemp 60·tempObj 36·fnDecl 3·tempArr 2·loopIndex 2. fnDecl 3건도 비대상: r@59=Babel _createClass 헬퍼 내부(head 13-113·서드파티)·n@4343=ApiClient 클래스-IIFE 내부 생성자 자기참조(외부 바인딩 ApiClient 이미 명명)·o@15088=RedEditorSDK 클래스-IIFE 내부 생성자 자기참조(외부 RedEditorSDK 이미 명명). 존 분포: babelHead(13-113) 11=서드파티 툴링→thirdparty-ranges 제외·interZone(3761-4634) 53·coreSDK(13903+) 243. 처리: 111 free-ref 엔트리(preserve:true·class:free-ref) rename-map 추가 + thirdparty-ranges 가독본 실좌표+Babel head[13,113] 추가. 재검증: g4_proprietary.cjs proprietary 잔여=0·official readability-metrics.cjs residualBindings=0 shortCallees=0 pass=true. 조건부 GO 평가 가능(잔여=free-ref 명시분만)."
deob_07_app_components.js,full-file,97-2607,proprietary,0,Low,"이미 부분 디옵된 산출물(이전 패스). 본문(line 97~2607) 전체 standalone 1~2문자 식별자 스캔(Node·문자열/주석 strip) 결과 잔여 축약 바인딩 0개 — 헤더 매핑(g/V/M/j/T/ce/de/oe/he·yt/We/Wi/od/Kt·re/R/H/F/xe/le/Ve/Dt/x/Be/on/br/rs/Pi/un/cn·qr/Wr/Ql/Nl/Hl/Ml/zr/dS/BT·Bl/Xl/Jl/Vl/Yl/X_/ks/J_/K_/Yr/Ll/$l/Fl/_1/f1/z_)는 전부 이미 풀네임으로 본문 적용됨(openBlock·createVNode·computed·reactive·defineComponent·CDN_BASE_URL 등). rename-map은 preserve-only(도메인/API 계약 29키·본문 실재 확인: PCS_CD·PCS_DTL_CD·COD·COD_NME·KOI_NME·MTRL_*·PTT_*·WGT_CD·CLR_CD·PRICE·HIDE_YN·GBN·QUICK_ORD_YN 등=전부 프로퍼티 키·F4 동결). comment-map=섹션배너 3 + JSDoc 23(declarator 앵커 *_Module·defineComponent 선언명). ★구조 경고: 파일 line 105 orphan `}),`로 G1 FAIL(번들 슬라이스 절단)·import 0 — 현 상태로는 AST scope.rename 불가. 또한 deob 단편(2607줄)은 CLD_STD까지만 코드 포함·COT_DFT~WRK_MTR/Basic/수량 컴포넌트는 원본 mod_07(4247줄)에만 존재(트레일링 주석 요약). engineer는 원본/02_beautified에서 재생성 필요(playbook §6)."
deob_07_app_components.js,free-ref-check,97-2607,proprietary,0,Low,"free-ref(리네임 불가): Vue 3 런타임 헬퍼·composable·디렉티브가 전부 free reference(이 파일 import 0·선언 0회)인데 이미 풀네임으로 적용됨 — openBlock(78)·createVNode(42)·createElementVNode(44)·createElement(56)·withCtx(19)·withDirectives(22)·toDisplayString(29)·unref(67)·computed(63)·reactive(13)·ref(36)·watch(34)·defineComponent(21)·inject(16)·renderList(19)·Fragment(24)·CDN_BASE_URL(7) 전부 decl=0. 본문 잔존 standalone 토큰 g/fe/je/x/_/id/d/s/v 는 전부 비식별자: g=정규식 /g 플래그+template 'g'(grams 단위), fe/je=트레일링 주석(OptionRow(fe)/ImageButton(je)), x=string 'x'(width x height 구분자), _=Vue patchFlag 프로퍼티 키, id/d=프로퍼티 키(SVG d·object id), v=data-v-xxxx scopeId 문자열. 추측 리네임 금지·코드모드 대상 아님."
