no,title,step,track,open_required,std_ids,evidence,memo
1,10/6 오픈 범위를 어디까지 줄이는가,E4,T7,Y,STD-SYS-032,_workspace/huni-launch-runway/07_rebaseline/R/R3/decisions-for-pm.md:11,
2,쇼핑개발 레인을 늘릴 것인가,E4,T7,Y,원장 행 없음,_workspace/huni-launch-runway/07_rebaseline/R/R3/decisions-for-pm.md:19,
3,결제 경로 — PG 인가 무통장인가,B6,T3,Y,STD-PAY-001;STD-PAY-027,_workspace/huni-launch-runway/07_rebaseline/R/R3/decisions-for-pm.md:27,
4,생산 뒤쪽을 사람이 잇는가 (Plan B 확정),C5,T4,N,STD-MFG-136,_workspace/huni-launch-runway/07_rebaseline/R/R3/decisions-for-pm.md:35,지니 260917 확정으로 「수동 Plan B 오픈」 전제 폐기 — 결정 종결(CARDS-S §0-A)
5,webadmin 영역 분리 — 쇼핑몰 관리자 / DB·생산,A1,T2,N,STD-SYS-028,_workspace/huni-launch-runway/07_rebaseline/R/R3/decisions-for-pm.md:43,
6,프린트머니 개발 주체·배치,D5,T6,Y,STD-MYP-022,_workspace/huni-launch-runway/07_rebaseline/R/R3/decisions-for-pm.md:50,잔액 이관이 오픈 범위라 주체 결정은 오픈 전
7,배송비 정책,E1,T5,Y,STD-SYS-005;STD-SHP-001,_workspace/huni-launch-runway/07_rebaseline/R/R3/decisions-for-pm.md:57,
8,이메일형 테스트 회원 계정 (R1a Missing Inputs 1),B5,T3,Y,STD-MEM-022,_workspace/huni-launch-runway/07_rebaseline/R/R3/decisions-for-pm.md:68,
9,vercel.app 리다이렉트 교정 순서 (R1a Missing Inputs 2),E2,T1,Y,STD-SYS-024,_workspace/huni-launch-runway/07_rebaseline/R/R3/decisions-for-pm.md:76,
10,위젯 기본값을 누가 지정하는가 (R1b Missing Inputs 4),A3,T2,Y,STD-OPT-045;STD-OPT-039;STD-OPT-048;STD-OPT-051,_workspace/huni-launch-runway/07_rebaseline/R/R3/decisions-for-pm.md:82,
11,최종 오픈 도메인 (R1d Missing Inputs 1),E2,T1,Y,STD-SYS-036,_workspace/huni-launch-runway/07_rebaseline/R/R3/decisions-for-pm.md:88,
12,카카오페이 샵바이 연동 방식 (R1d Missing Inputs 2),B6,T3,N,STD-PAY-005;STD-PAY-025,_workspace/huni-launch-runway/07_rebaseline/R/R3/decisions-for-pm.md:95,
13,웹훅 등록 화면 경로 (R1d Missing Inputs 3),C3,T4,Y,STD-SYS-039,_workspace/huni-launch-runway/07_rebaseline/R/R3/decisions-for-pm.md:101,
14,셀러어드민 상세 3캡처를 누가 찍는가 (R1d Missing Inputs 4),E1,T5,N,STD-ADO-028,_workspace/huni-launch-runway/07_rebaseline/R/R3/decisions-for-pm.md:107,
15,huni-skin-next 포크 처리 방침 (R1e Missing Inputs 1),E2,T1,N,STD-SYS-050,_workspace/huni-launch-runway/07_rebaseline/R/R3/decisions-for-pm.md:113,
16,관리자 화면(/admin) 존폐 (R1e Missing Inputs 2),E2,T1,Y,STD-SYS-042;STD-SYS-043,_workspace/huni-launch-runway/07_rebaseline/R/R3/decisions-for-pm.md:119,
17,프린트머니 노출 메뉴 (R1e Missing Inputs 3),D5,T6,N,STD-MYP-041;STD-MYP-007,_workspace/huni-launch-runway/07_rebaseline/R/R3/decisions-for-pm.md:126,
18,Vercel 프로젝트 접근 (R1e Missing Inputs 4),E2,T1,Y,원장 행 없음,_workspace/huni-launch-runway/07_rebaseline/R/R3/decisions-for-pm.md:132,
19,IA 관리자 「140행」 원본 (R1b Missing Inputs 1),E4,T7,N,원장 행 없음,_workspace/huni-launch-runway/07_rebaseline/R/R3/decisions-for-pm.md:138,
20,pubscan 세션 키 (R1b Missing Inputs 2),A3,T2,N,STD-OPT-045,_workspace/huni-launch-runway/07_rebaseline/R/R3/decisions-for-pm.md:144,
21,프린트머니 원장 소유 — A(샵바이 적립금) vs B′(후니 원장 + 외부포인트),D5,T6,Y,STD-PAY-007;STD-MYP-006;STD-PAY-008;STD-MYP-051,_workspace/huni-launch-runway/07_rebaseline/R/R3/decisions-for-pm.md:154,9/15 회의 확정 5 = B′ 쪽(결정 문단 자체 기록) — 설계 문서 미반영이 남은 일
22,증빙 발행 시점 — 충전 시 vs 사용 시,D4,T5,N,STD-MYP-038,_workspace/huni-launch-runway/07_rebaseline/R/R3/decisions-for-pm.md:159,
23,시작가 「10원~」 교정 방식 — 설정인가 개발인가,A4,T2,Y,STD-CAT-028;STD-CAT-043,_workspace/huni-launch-runway/07_rebaseline/R/R3/decisions-for-pm.md:164,
24,프린트머니 세부 정책 4건 (충전 단위 · 부분 취소 · 입금계좌 분리 · 과입금),D5,T6,N,STD-MYP-049;STD-MYP-050;STD-MYP-052;STD-PAY-021,_workspace/huni-launch-runway/07_rebaseline/R/R3/decisions-for-pm.md:169,
25,아이디/비밀번호 찾기·소셜 버튼 스텁 — 숨길 것인가 완성할 것인가,B5,T3,N,STD-MEM-008;STD-MEM-009,_workspace/huni-launch-runway/07_rebaseline/R/R3/decisions-for-pm.md:180,
26,"홈 더미 콘텐츠 — BEST 8종이 전부 `/product/1`(404), 새소식 3칸 영문 Lorem",A5,T3,N,STD-CAT-021,_workspace/huni-launch-runway/07_rebaseline/R/R3/decisions-for-pm.md:181,
27,FAQ·1:1문의·Q&A 라우트 부재,D3,T3,N,STD-CAT-013;STD-CLM-016,_workspace/huni-launch-runway/07_rebaseline/R/R3/decisions-for-pm.md:182,
28,기초정보 사업자 정보 빈칸(회사명·사업자번호·통신판매업신고) · 발송 메일 gmail,E3,T5,Y,STD-SYS-040,_workspace/huni-launch-runway/07_rebaseline/R/R3/decisions-for-pm.md:183,
29,판매중 상품 수 3갈래(291 / 297 / 226),A4,T2,Y,STD-CAT-041,_workspace/huni-launch-runway/07_rebaseline/R/R3/decisions-for-pm.md:184,
30,운영자 계정 1개(마스터·채훈희) 공유 · 권한그룹 0,E1,T5,Y,STD-SYS-038,_workspace/huni-launch-runway/07_rebaseline/R/R3/decisions-for-pm.md:185,
