action,target_code,member_codes,canonical,reason,price_dependent,confidence,confirm_needed
merge,PROC_000054,PROC_000087,"(재단/칼선, 반칼, 부모=root self-ref)","[G반칼] PROC_000087(반칼)=2026-06-17 00:54 일괄 INSERT thin mirror·upr=PROC_000054(같은이름 부모)·dtl_opt 공란·disp_seq=1. 라이브 실측 087: prd_proc=0·comp_prices=0·option_ref=0·child=0·authority crosswalk 부재. 부모 054는 dtl_opt(모양/조각수)·authority(PRD_000052~064)·prd_proc=4 보유. ③내부값중복(빈 자식)·②표시중복. 정본=054(권위·rich), 087 논리삭제(del_yn=Y). 외부참조 0=무손실·CASCADE 무관.",N,high,N
merge,PROC_000080,PROC_000088,"(후가공/조립, 봉제, 부모=root)","[G봉제] PROC_000088 thin mirror·upr=PROC_000080·00:54 INSERT·dtl_opt 공란. 라이브 088: prd_proc=0·comp_prices=0·opt_ref=0·child=0·authority 부재. 부모 080=dtl_opt(유형 enum 5종/폭)·prd_proc=5·comp_prices=5(COMP_POSTEROPT_LINEN_FINISH)·opt_ref=15. 정본=080, 088 논리삭제. 무손실.",N,high,N
merge,PROC_000081,PROC_000089,"(후가공/조립, 부착, 부모=root)","[G부착] PROC_000089 thin mirror·upr=PROC_000081·00:54 INSERT. 089: 전 참조 0·authority 부재. 부모 081=dtl_opt(대상 enum)·prd_proc=10·opt_ref=5. 정본=081, 089 논리삭제. 무손실.",N,high,N
merge,PROC_000053,PROC_000091,"(재단/칼선, 완칼, 부모=root)","[G완칼] PROC_000091 thin mirror·upr=PROC_000053·00:54 INSERT. 091: 전 참조 0·authority 부재. 부모 053=dtl_opt(모양)·prd_proc=3·comp 0·opt_ref=1·authority(PRD_000055~057). 정본=053, 091 논리삭제. 무손실.",N,high,N
merge,PROC_000082,PROC_000093,"(완제/제작, 족자제작, 부모=root)","[G족자제작] PROC_000093 thin mirror·upr=PROC_000082·00:54 INSERT. 093: 전 참조 0·authority 부재. 부모 082=dtl_opt(모양 enum 사각/원형)·prd_proc=1·opt_ref=2. 정본=082, 093 논리삭제. 무손실.",N,high,N
merge,PROC_000055,PROC_000094,"(재단/칼선, 스티커완칼, 부모=root)","[G스티커완칼] PROC_000094 thin mirror·upr=PROC_000055·00:54 INSERT. 094: 전 참조 0·authority 부재. 부모 055=dtl_opt(조각수)·prd_proc=7. 정본=055, 094 논리삭제. 무손실.",N,high,N
merge,PROC_000083,PROC_000095,"(후가공/코팅, 에폭시, 부모=root)","[G에폭시] PROC_000095 thin mirror·upr=PROC_000083·00:54 INSERT. 095: 전 참조 0·authority 부재. 부모 083=prd_proc=1·authority(PRD_000227 미니우치와키링). 정본=083, 095 논리삭제. 무손실.",N,high,N
merge,PROC_000084,PROC_000096,"(재단/열절단, 열재단, 부모=root)","[G열재단] PROC_000096 thin mirror·upr=PROC_000084·00:54 INSERT. 096: 전 참조 0·authority 부재. 부모 084=prd_proc=2·silsa 열재단 권위 note(M-1 확정). 정본=084, 096 논리삭제. 무손실.",N,high,N
merge,PROC_000002,PROC_000097,"(인쇄/표면, UV, 부모=root self-ref)","[G-UV자식] PROC_000097(UV)=00:54 INSERT thin mirror·upr=PROC_000002(같은이름 부모). 097: prd_proc=0·comp_prices=0·opt_ref=0·child=0·authority 부재. 부모 002=dtl_opt(변형 enum 5종)·prd_proc=14. 정본=002, 097 논리삭제. ★주의: 002/016 UV는 false-positive 가드(다른 부모)=별개 유지·097만 002의 빈 자식이라 merge. 무손실.",N,high,N
keep,PROC_000002,PROC_000016,"(인쇄/표면, UV / 코팅, 부모 상이)","[④가드-UV] PROC_000002 UV(root·변형 enum·인쇄표면)와 PROC_000016 UV(upr=PROC_000013 코팅·코팅유형 leaf)는 부모/의미축 상이(독립 UV공정 vs 코팅의 UV코팅 옵션). 둘 다 라이브 active·정당구분. 표시명만 같음=false-positive(진짜중복 아님). 016은 참조 0이나 코팅 옵션축 보존 위해 유지(컨펌큐). 통합 금지.",N,high,Y
