L0,L1,L2,process_id,process_name,step_no,step,row_id,기능,시스템,담당자,상태,원장판정,근거,cross,원장전용
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),클레임·CS,취소,P01,주문 취소 신청·승인,1,1. 주문 전체 취소 신청,STD-CLM-001,주문 전체 취소 신청,huni-mall,김동학,미착수,담당맞음,huni-shopby/01_research/order-to-delivery-contract.md §4.3 claims-*,주문·결제(STD-ORD/PAY) 카드 — 취소 대상 주문의 생성·결제,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),클레임·CS,취소,P01,주문 취소 신청·승인,2,2. 옵션 단위 부분 취소 신청,STD-CLM-002,옵션 부분 취소 신청,huni-mall,김동학,미착수,담당맞음,huni-shopby/01_research/order-to-delivery-contract.md §4.3 claims-*,주문·결제(STD-ORD/PAY) 카드 — 취소 대상 주문의 생성·결제,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),클레임·CS,취소,P01,주문 취소 신청·승인,3,3. 비회원 취소 신청(주문번호 인증),STD-CLM-003,비회원 취소 신청,huni-mall,김동학,미착수,담당맞음,huni-shopby/01_research/order-to-delivery-contract.md §4.3 claims-*,주문·결제(STD-ORD/PAY) 카드 — 취소 대상 주문의 생성·결제,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),클레임·CS,취소,P01,주문 취소 신청·승인,4,4. 제작 착수 후 취소 제한·협의 안내,STD-CLM-004,제작 착수 후 취소 제한·협의 안내,huni-mall,김동학,미착수,재배정,print-kb/wiki/policy/operations.md#OPS-01 케이스별 협의,주문·결제(STD-ORD/PAY) 카드 — 취소 대상 주문의 생성·결제,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),클레임·CS,반품,P02,반품·교환 신청·처리,1,1. 반품 신청(단일·복수 옵션),STD-CLM-005,반품 신청(단일·복수),huni-mall,김동학,미착수,담당맞음,huni-shopby/01_research/order-to-delivery-contract.md §4.3 claims-*,배송(STD-SHP) 카드 — 수거·재출고 택배 경로,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),클레임·CS,교환,P02,반품·교환 신청·처리,2,2. 교환 신청(출고 전/후),STD-CLM-006,교환 신청(출고 전/후),huni-mall,김동학,미착수,담당맞음,huni-shopby/01_research/order-to-delivery-contract.md §4.3 claims-*,배송(STD-SHP) 카드 — 수거·재출고 택배 경로,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),클레임·CS,환불,P03,환불 예상금액 산정·환불계좌·지급,1,1. 환불 예상금액 계산,STD-CLM-007,환불 예상금액 계산,huni-mall,김동학,미착수,담당맞음,huni-shopby/01_research/order-to-delivery-contract.md §4.3 claims-*,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),클레임·CS,환불,P03,환불 예상금액 산정·환불계좌·지급,2,2. 환불계좌 등록·수정,STD-CLM-008,환불계좌 등록·수정,huni-mall,김동학,미착수,담당맞음,huni-shopby/01_research/order-to-delivery-contract.md §4.3 claims-*,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),클레임·CS,환불(원장전용),P03,환불 예상금액 산정·환불계좌·지급,3,3. 가상계좌 입금분 환불 시 계좌 수령 절차 결정,STD-CLM-026,가상계좌 입금분 환불 시 고객 환불계좌 수령 절차,결정(PM),미정,미착수,미정,후니정기미팅 정리260915.html §프린팅머니 · 미결 7,,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),클레임·CS,클레임,P04,클레임 접수·사유분류·귀책판정·승인거부·철회,1,1. 클레임 사유 분류 선택(12종),STD-CLM-010,클레임 사유 분류 선택(12종),huni-mall,김동학,미착수,담당맞음,huni-shopby/01_research/order-to-delivery-contract.md §4.2 claimReasonType,,N
