row_id,daebun,jungbun,track,step,title,status,owner,in_canon
STD-ART-008,원고·파일,검판,T4,C4,파일 포맷 유효성 검사,미착수,서희항,Y
STD-ART-009,원고·파일,검판,T4,C4,재단선/블리드 3mm 확보 검사,미착수,서희항,Y
STD-ART-010,원고·파일,검판,T4,C4,색공간(CMYK) 검사 및 RGB 경고,미착수,서희항,Y
STD-ART-011,원고·파일,검판,T4,C4,해상도(dpi) 검사,미착수,서희항,Y
STD-ART-012,원고·파일,검판,T4,C4,폰트 아웃라인 여부 검사,미착수,서희항,Y
STD-ART-013,원고·파일,검판,T4,C4,주문 사양과 파일 실측 사이즈 대조,미착수,서희항,Y
STD-ART-014,원고·파일,검판,T4,C4,별색 채널·오버프린트 검사,미착수,서희항,Y
STD-ART-015,원고·파일,검판,T4,C4,검판 결과 리포트 고객 노출,미착수,서희항,Y
STD-ART-016,원고·파일,검판,T4,C4,자동검판 도구 연동(PitStop 등),미착수,서희항,Y
STD-ART-017,원고·파일,검판,T4,C4,검판 게이트 통과/보류 상태 관리,미착수,최숙진,Y
STD-ART-018,원고·파일,검판,T4,C4,재업로드 요청 발송(문자/알림),미착수,서희항,Y
STD-ART-028,원고·파일,생산연계,T4,C5,생산용 원고 자동 다운로드/전달,부분,서희항,Y
STD-ART-033,,,T4,C4,PitStop 연동 소요 시간 다음 미팅 상정·일정 반영,미착수,미정,N
STD-ART-034,,,T4,C4,PitStop 연동 방식 결정(핫폴더 vs CLI),미착수,미정,N
STD-ART-035,,,T4,C4,PitStop 작업 범위 산정(상품별 프로파일·S3↔서버 파일 이동·결과 표시·대용량 테스트),미착수,미정,N
