system,group,screen_id,screen_name,role,function,work_type,counterpart,direction,owner_side,plan_row_id,status,evidence
mes,WebApi(견적),MES-API-Estimation-CRUD,견적 CRUD API,운영자(CS·상품),견적서 생성/조회/수정/항목관리,build,,,mes,NEW,완료,"[오픈분모밖] BackOffice.WebApi/CRT.EasyMES.V2.Web.Api/EndPoints/EstimationEndpoints.cs . plan_row_id=NEW 이유: MES 내부 제작관리 API, 9/17 원장(735행)에 해당 행 없음(분모밖)"
mes,WebApi(견적),MES-API-Order-Core,주문 CRUD·상태변경 API(WCF IOrderService 이관),생산(MES),주문 목록/상세/생성/수정/삭제/상태변경,build,,,mes,NEW,완료,"[오픈분모밖] BackOffice.WebApi/CRT.EasyMES.V2.Web.Api/EndPoints/OrderCoreEndPoints.cs:31 (WcfMappingAttribute ServiceName=IOrderService MethodName=GetOrder) . plan_row_id=NEW 이유: MES 내부 제작관리 API, 9/17 원장에 해당 행 없음(분모밖)"
mes,WebApi(견적),MES-API-Order-Legacy-Deprecated,구 주문목록 API(폐기예정),생산(MES),"주문 목록 조회(레거시, OrderCoreEndPoints로 대체)",build,,,mes,NEW,완료,"[오픈분모밖] BackOffice.WebApi/CRT.EasyMES.V2.Web.Api/EndPoints/CrudOrderEndPoints.cs:13 [Obsolete]""Use OrderCoreEndpoints instead"" . plan_row_id=NEW 이유: MES 내부 제작관리 API(폐기예정), 9/17 원장에 해당 행 없음(분모밖)"
mes,WebApi(견적),MES-API-Manufacture-Suite,생산관리 API 일체(작업지시·생산실적·BOM·설비·품목·재고·배송·통계·고객·우편번호·인증),생산(MES),작업지시 CRUD·생산실적 등록조회·BOM·설비·재고·배송·통계·고객·인증 등 18개 엔드포인트 파일,build,,,mes,NEW,완료,"[오픈분모밖] BackOffice.WebApi/CRT.EasyMES.V2.Web.Api/EndPoints/{WorkOrderEndPoints,ProductionRecordEndPoints,BomEndpoints,EquipmentEndPoints,ProductEndpoints,ProductCategoryEndpoints,ProductSpecificationEndpoints,InventoryEndpoints,DeliveryEndpoints,StatisticsEndpoints,CustomerEndPoints,ZipCodeEndPoints,ValidationEndPoints,Auth*EndPoints,CommonEndPoints,ManufactureEndPoints}.cs . plan_row_id=NEW 이유: MES 내부 제작관리 API 18종 묶음, 9/17 원장에 해당 행 없음(분모밖)"
mes,WebApi(견적),MES-API-WcfMapping-DevTool,WCF↔WebAPI 매핑 검증 개발도구 API,시스템(무인),"WCF 레거시 서비스 목록/전체매핑/미구현/신규API 조회(마이그레이션 검증용, 검증 후 제거 예정)",build,,,mes,NEW,완료,"[오픈분모밖] BackOffice.WebApi/CRT.EasyMES.V2.Web.Api/EndPoints/WcfMappingVerificationEndPoints.cs:1-40 (""검증 후 주석 처리하거나 삭제할 수 있습니다"") . plan_row_id=NEW 이유: 마이그레이션 검증용 개발도구 API, 9/17 원장에 해당 행 없음(분모밖)"
mes,주문 인터페이스,MES-ITF-Cafe24-OrderIntake,카페24 주문 수신(SQS Webhook Consumer),시스템(무인),Cafe24 주문 Webhook(SQS 수신)→신규주문/결제갱신/주문취소 처리→MES DB 저장(CRT.EasyMES.V2.Data.Biz),integrate,cafe24,cafe24→mes,mes,NEW,완료,"[오픈분모밖] BackOffice.Console/CRT.EasyMES.V2.Console.Cafe24Interface.Update/Program.cs:128,180,216,500,512 (SqsClient.GetMessagesAsync<OrderWebhookPayload> · DoCreateOrder/DoUpdatePayment/DoOrderCancel) . plan_row_id=NEW 이유: 신규몰(샵바이) 파이프라인이 아닌 기존 Cafe24 채널 연동, 9/17 원장에 해당 행 없음(분모밖)"
mes,주문 인터페이스,MES-ITF-Cafe24-StatusPush,카페24 배송정보 갱신 전송,시스템(무인),MES 발송처리(택배사코드·방문수령 포함) → Cafe24 REST API로 배송정보 갱신 전송,integrate,cafe24,mes→cafe24,mes,NEW,완료,"[오픈분모밖] BackOffice.Console/CRT.EasyMES.V2.Console.Cafe24Interface/Program.cs:1-60 (SHIPPING_COMPANY_CODE/SHIPPING_COMPANY_CODE_VISIT 설정, CAFE24_ACCESS_Token 사용) . plan_row_id=NEW 이유: 신규몰이 아닌 기존 Cafe24 채널 연동, 원장에 해당 행 없음(분모밖)"
mes,주문 인터페이스,MES-ITF-Cafe24-TokenRefresh,카페24 OAuth 토큰 갱신,시스템(무인),Cafe24 OAuth2 access/refresh token 발급·갱신(별도 상주 프로세스),integrate,cafe24,mes↔cafe24,mes,NEW,완료,"[오픈분모밖] BackOffice.Console/CRT.EasyMES.V2.Console.Cafe24Interface.Token/Program.cs:1-40 (CAFE24_CLIENT_ID/CAFE24_CLIENT_SECRET/CAFE24_REDIRECT_URI) . plan_row_id=NEW 이유: 신규몰이 아닌 기존 Cafe24 채널 연동, 원장에 해당 행 없음(분모밖)"
mes,주문 인터페이스,MES-ITF-WooCommerce-Webhook,우커머스 주문 Webhook 수신,시스템(무인),WooCommerce 주문/결제/취소 Webhook 수신(SQS)→ProductItemFactory로 상품옵션 분해→MES DB 저장(Topshelf 상주 서비스),integrate,woocommerce,woocommerce→mes,mes,NEW,완료,"[오픈분모밖] BackOffice.Console/TS.BackOffice.WebHookHandler.WooCommerce/WebHookService.cs:1-40 · Program.cs:17 (""프로세스 Diagram"") · Database/Biz/OrderBiz.cs . plan_row_id=NEW 이유: 신규몰이 아닌 기존 WooCommerce 채널 연동, 원장에 해당 행 없음(분모밖)"
mes,주문 인터페이스,MES-ITF-WooCommerce-CommandPush,우커머스 주문상태·송장 갱신 전송,시스템(무인),MES에서 발행한 상태변경 커맨드(UpdateStatusCmd/UpdateTrackingCmd)를 큐로 전달→CommandHandler가 WooCommerce REST API로 반영,integrate,woocommerce,mes→woocommerce,mes,NEW,완료,"[오픈분모밖] BackOffice.Console/TS.BackOffice.WooCommerce.Command/{UpdateStatusCmd,UpdateTrackingCmd}.cs · TS.BackOffice.WooCommerce.CommandHandler/CommandService.cs . plan_row_id=NEW 이유: 신규몰이 아닌 기존 WooCommerce 채널 연동, 원장에 해당 행 없음(분모밖)"
