legacy_id,원천,기능서술,원판정,돈여부,주문여부,L4c 비고
F-003,runway,No3 로그인 — 비밀번호 찾기(휴대폰 임시PW) [PARTIAL·2차·M],미착수,False,False,
F-005,runway,No5 회원가입 — 정보입력 [PARTIAL·1차·M],미착수,False,False,
F-007,runway,No7 회원가입 — 휴대전화 인증 [PARTIAL·2차·M],미착수,False,False,
F-010,runway,No10 마이페이지 — 주문상세조회(편집상품 미리보기) [CUSTOM·1차·L],미착수,False,True,
F-011,runway,No11 마이페이지 — 옵션보관함(저장된 인쇄옵션) [CUSTOM·2차·M],미착수,False,False,
F-014,runway,No14 마이페이지 — 프린팅머니 [PARTIAL·2차·M],미착수,True,False,
F-015,runway,No15 마이페이지 — 머니충전 [CUSTOM·2차·M],미착수,True,False,
F-018,runway,No18 마이페이지 — 리뷰쓰기(사진업로드)수정/삭제 [PARTIAL·3차·M],미착수,True,False,
F-019,runway,No19 마이페이지 — 나의 체험단 활동내역+후기 [CUSTOM·3차·M],미착수,False,False,체험단 — 프로모션 축(L4b) 추정
F-021,runway,No21 마이페이지 — 회원정보수정 [PARTIAL·1차·M],미착수,False,False,
F-025,runway,No25 마이페이지 — 증빙서류발급내역 [PARTIAL·2차·M],미착수,True,False,
F-026,runway,No26 마이페이지 — 사업자정보(목록) [PARTIAL·2차·S],미착수,False,False,
F-027,runway,No27 마이페이지 — 사업자정보등록(쓰기) [PARTIAL·2차·M],미착수,False,False,
F-028,runway,No28 마이페이지 — 현금영수증정보 [PARTIAL·2차·M],미착수,True,False,
F-029,runway,No29 마이페이지 — 메인(대시보드) [PARTIAL·1차·S],미착수,True,False,
F-030,runway,No30 마이페이지 — 서브메인(랜딩페이지) [PARTIAL·3차·M],미착수,False,False,
F-031,runway,No31 마이페이지 — LIST(검색결과) [PARTIAL·1차·M],미착수,False,False,
F-032,runway,No32 인쇄상품 — A1 상품 기본정보 세팅 [PARTIAL·1차·S],미착수,False,False,
F-033,runway,No33 인쇄상품 — A2 상품별 옵션 목록 불러오기 [CUSTOM·1차·L],미착수,False,False,
F-034,runway,No34 인쇄상품 — B1 규격(사이즈) 선택 [CUSTOM·1차·M],미착수,False,False,
F-035,runway,No35 인쇄상품 — B2 비규격 사용자입력(가로×세로) [CUSTOM·1차·M],미착수,False,False,
F-036,runway,No36 인쇄상품 — B3 수량 선택+직접입력 [CUSTOM·1차·M],미착수,True,False,
F-037,runway,No37 인쇄상품 — B4 종이/소재 선택(+평량) [CUSTOM·1차·M],미착수,False,False,
F-038,runway,No38 인쇄상품 — B5 인쇄 도수(단/양면)+별색·화이트 [CUSTOM·1차·M],미착수,False,False,
F-039,runway,No39 인쇄상품 — B6 코팅 [CUSTOM·2차·S],미착수,False,False,
F-040,runway,No40 인쇄상품 — B7 커팅/조각수/모서리 [CUSTOM·2차·M],미착수,False,False,
F-041,runway,No41 인쇄상품 — B8 접지/오시/미싱 [CUSTOM·2차·M],미착수,False,False,
F-042,runway,No42 인쇄상품 — B9 제본(방향·면지·링·커버) [CUSTOM·1차·L],미착수,False,False,
F-043,runway,No43 인쇄상품 — B10 내지/표지 그룹 분리 [CUSTOM·1차·M],미착수,False,False,
F-044,runway,No44 인쇄상품 — B11 박/형압 [CUSTOM·2차·M],미착수,False,False,
F-045,runway,No45 인쇄상품 — B12 캘린더 가공/장수 [CUSTOM·2차·M],미착수,False,False,
F-046,runway,No46 인쇄상품 — B13 추가상품(봉투 등) [PARTIAL·2차·M],미착수,False,False,
F-047,runway,No47 인쇄상품 — B14 개별포장 [PARTIAL·3차·S],미착수,False,False,
F-048,runway,No48 인쇄상품 — B15 옵션 제약·조건부 노출 [CUSTOM·1차·L],미착수,False,False,
F-049,runway,No49 인쇄상품 — C1 옵션 변경 시 가격 실시간 재계산 [CUSTOM·1차·XL],미착수,True,False,
