fact_id,axis,subject,yeolim_fact,huni_fact,same_or_diff,evidence
F-01,①집합,CRT.Framework.* 프로젝트 수,13개,12개,다름,t55/inventory.py 출력 · inventory.json
F-02,①집합,공통 프로젝트,"AWS·Asset·Core·DevExpr·Extensions·PDF·PDF.Objects·Utils·WinForms (9)","동일 9개",같음,t55/inventory.json
F-03,①집합,한쪽 전용,"Attribute·Barcode·Pitstop·Security (4)","JSON·Net·Utils.ZipLib (3)",다름,t55/inventory.json
F-04,①규모,공통 9개 .cs 파일 수,104,97,다름,t55/inventory.py 출력
F-05,①규모,공통 9개 .cs 총 줄수,16213,15825,다름,t55/inventory.py 출력
F-06,①규모,양쪽에 같은 이름으로 있으면서 내용 동일한 파일,51,51,같음,t55/filediff.py 출력
F-07,①규모,같은 이름·내용 다른 파일,36,36,다름,t55/filediff.py 출력
F-08,①규모,한쪽에만 있는 파일,17(열림만),10(후니만),다름,t55/filediff.py 출력
F-09,①최신,저장소 총 커밋 수,18,244,다름,git -C <repo> log --oneline | wc -l
F-10,①최신,공통 9개 프로젝트 최종 커밋일,"7개 2025-02-02(초기 커밋)·PDF.Objects 2025-04-09",2026-02-19 ~ 2026-09-01,다름,git -C <repo> log -1 -- <projdir>
F-11,①최신,프레임워크 유지보수 상태,납품 시점 스냅샷(2025-02 이후 정지),계속 수정 중,다름,F-09·F-10
F-12,①API,공개 타입 수(공통 9개 합),115,91,다름,t55/apidiff.py 출력
F-13,①API,공개 멤버 수(공통 9개 합),632,512,다름,t55/apidiff.py 출력
F-14,①API,한쪽에만 있는 공개 타입,36,12,다름,t55/apidiff.json
F-15,①API,AWS 클라이언트 능력,"S3 8메서드·SQS 5메서드·S3JsonMessage(S3 원본 이벤트 DTO) 보유","S3 13메서드·SQS 13메서드(Subscribe 폴링루프·배치삭제·가시성변경)·SqsLogSink 보유·S3JsonMessage 없음",다름,CRT.Framework.AWS/S3Client.cs·SqsClient.cs 양쪽
F-16,①API,DevExpr 접두 네이밍,CPSContextMenu·CPSGlobalColor·CPSMaskType,CRTContextMenu·CRTGlobalColor·CRTMaskType,다름,DevExpr/Common/*.cs 양쪽
F-17,①API,PDF.Objects Marks 계층,"IMark·MarkText·MarkQRBarocde·MarkDataMatrixBarocde·MarkConvertor·BoundingRectangle·Pages (7파일)",없음,다름,PDF.Objects/Marks/*.cs (열림만)
F-18,①API,WinForms 우편번호 조회,FrmZipCode·ZipCodeRest·ZipCodeResult 보유,없음,다름,WinForms/Controls/FrmZipCode.cs·Rest/ZipCodeRest.cs (열림만)
F-19,②이식,CRT.Framework.Pitstop 구성,"4개 .cs(753줄)+AssemblyInfo",해당 없음,열림 전용,CRT.Framework.Pitstop/
F-20,②이식,대상 프레임워크,.NET Framework v4.7.2,.NET Framework v4.7.2(전 프로젝트),같음,양쪽 csproj TargetFrameworkVersion
F-21,②이식,csproj 형식,구형 MSBuild(비 SDK-style)·packages.config,동일,같음,CRT.Framework.Pitstop.csproj:2 · 후니 Framework/*.csproj
F-22,②이식,Pitstop 선언 의존,"Newtonsoft.Json 13.0.3 + ProjectReference CRT.Framework.PDF","후니도 Newtonsoft.Json 13.0.3 보유",같음,CRT.Framework.Pitstop/packages.config · CRT.Framework.Pitstop.csproj:63-66
F-23,②이식,Pitstop 소스의 실사용 의존,"CRT.* 참조 0건 · using 은 System.* 만(Xml.Serialization·Xml.Linq·XPath·IO) · Newtonsoft 사용 0건",해당 없음,열림 전용,"grep ""CRT\."" CRT.Framework.Pitstop/*.cs → 0건 · grep ""^using"" 결과 전부 System.*"
F-24,②이식,따라서 실제 이식 필요물,"PitStopConfiguration.cs(318)·EnfocusReport.cs(289)·PitStopEnums.cs(93)·VariableSet.cs(53) 4파일 — 선언된 Newtonsoft·PDF 참조는 소스에서 미사용이라 떼어낼 수 있다",해당 없음,열림 전용,F-23
F-25,②이식,네임스페이스,CRT.Framework.Pitstop,"후니 Framework 도 CRT.Framework.* 를 그대로 쓴다(리브랜딩 없음)",같음,양쪽 namespace 선언
F-26,②이식,Utils/CommandLine.cs,"88줄 · Execute(exePath,args,ref outputString,timeoutSecond=300,hiddenWindow=false)","이미 존재 · 85줄 · 5번째 인자명 windowHidden",다름,diff 결과(아래 F-27)
F-27,②이식,CommandLine 동작 차이,CreateNoWindow 를 항상 true 로 고정,windowHidden==true 일 때만 CreateNoWindow=true(기본 false→콘솔창 뜸),다름,"diff -u 양쪽 CommandLine.cs — Y:24 vs H:24-25"
F-28,②이식,CommandLine 호출 호환,ExitCode==0 성공·타임아웃 시 실패 문자열 — 반환 계약 동일,동일,같음,양쪽 CommandLine.cs 본문
F-29,②이식,설정 읽는 방식,"App.config 의 appSettings key=ConfigurationFileName → FoxConfigurationManager.AppSettings[""키""]",동일 방식,같음,"열림 ServerProcess/App.config:36 · 후니 ItfLogConsumer/App.config:7 · 양쪽 Program.cs FoxConfigurationManager.AppSettings[]"
F-30,②이식,FoxConfiguration 제공 어셈블리,"TheOne.4.0 (NeoDEEX 4.0) · HintPath C:\Program Files (x86)\TheOne Technology\NeoDEEX 4.0\Assembly\","동일 어셈블리·동일 절대경로",같음,"열림 CRT.Yeolim.ServerProcess.csproj:55-57 · 후니 CRT.EasyMES.V2.Console.ItfLogConsumer.csproj:56-58"
F-31,②이식,설정 키 명명 관습,PascalCase(AwsRegion·AwsKey·PitStop_ExeFileName),UPPER_SNAKE(AWS_REGION·AWS_KEY·QUEUE_URL),다름,"열림 FoxConfigurationServerProcess.config:13-20 · 후니 FoxConfiguration.example.config:30-33"
F-32,②이식,Framework 밖에 남는 오케스트레이션,"CRT.Yeolim.ServerProcess/Program.cs 1357줄 + Common/ActionsSetList.cs 113줄(액션 카탈로그·enum→appSetting 매핑) + AppArguments 97 + AppReturnValue 67 — Framework.Pitstop 은 XML 직렬화기·리포트 파서일 뿐",해당 없음,열림 전용,wc -l 결과
F-33,②이식,PitStop 호출 계약,"CommandLine.Execute(ExeFileName, "" -config \""<XML경로>\"""", ref out, timeoutSec)",해당 없음,열림 전용,CRT.Yeolim.ServerProcess/Program.cs:654-659
F-34,②이식,PitStop XML 스키마 버전,"XmlRoot Namespace = .../PitStop/22/PitStopServerCLI_Configuration.xsd · Versioning.Version 기본 10 · VersioningStrategy=BestEffort",해당 없음,열림 전용,"PitStopConfiguration.cs:289 · :13 · :16"
F-35,③AWS,AWS 설정 객체,"AwsConfig(awsKey,awsSecKey,awsRegion) → BasicAWSCredentials","파일 내용 md5 동일(45줄)",같음,양쪽 CRT.Framework.AWS/AwsConfig.cs — inventory.json md5 일치
F-36,③AWS,AWSSDK 버전,Core 3.7.401.4 · S3 3.7.412.4 · SQS 3.7.400.84,Core 3.7.303.18 · S3 3.7.307.19 · SQS 3.7.300.78,다름,양쪽 CRT.Framework.AWS/packages.config
F-37,③AWS,S3→SQS→워커 구조,"클라이언트 S3 멀티파트 업로드 → S3 ObjectCreated → SQS → SQSMonitorService 폴링 → 자식 프로세스 실행","동일 골격이 이미 가동 중 — DesignFileCopyToNas·DesignFileThumbnailCreator 가 SQS 를 구독해 S3 객체 생성 이벤트를 처리",같음(골격),"열림 SQSMonitorService/Program.cs · 후니 DesignFileThumbnailCreator/ThumbnailService.cs:135 · DesignFileCopyToNas/ThumbnailService.cs:85"
